ils	PRO:PER	il
manifesteront	VER:futu	manifester
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
.	SENT	.
-	PUN	-
six	NUM	six
syndicats	NOM	syndicat
de	PRP	de
la	DET:ART	le
sncf	NOM	sncf
ont	VER:pres	avoir
lancé	VER:pper	lancer
hier	ADV	hier
un	DET:ART	un
«	PUN:cit	«
appel	NOM	appel
unitaire	ADJ	unitaire
»	PUN:cit	»
à	PRP	à
manifester	VER:infi	manifester
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
pour	PRP	pour
la	DET:ART	le
défense	NOM	défense
des	PRP:det	du
retraites	NOM	retraite
.	SENT	.
la	DET:ART	le
fédération	NOM	fédération
de	PRP	de
l'	DET:ART	le
equipement	NOM	equipement
des	PRP:det	du
transports	NOM	transport
et	KON	et
des	PRP:det	du
services	NOM	service
(	PUN	(
ftes	NOM	ftes
)	PUN	)
de	PRP	de
force	NOM	force
ouvrière	ADJ	ouvrier
(	PUN	(
fo	NOM	fo
)	PUN	)
appelle	VER:pres	appeler
également	ADV	également
«	PUN:cit	«
les	DET:ART	le
salariés	NOM	salarié
de	PRP	de
l'	DET:ART	le
aviation	NOM	aviation
civile	ADJ	civil
et	KON	et
du	PRP:det	du
transport	NOM	transport
aérien	ADJ	aérien
»	PUN:cit	»
à	PRP	à
manifester	VER:infi	manifester
.	SENT	.
la	DET:ART	le
fédération	NOM	fédération
générale	ADJ	général
des	PRP:det	du
retraités	NOM	retraité
de	PRP	de
la	DET:ART	le
fonction	NOM	fonction
publique	ADJ	publique
,	PUN	,
aussi	ADV	aussi
.	SENT	.
