jeudi	NOM	jeudi
soir	NOM	soir
,	PUN	,
le	DET:ART	le
maire	NOM	maire
,	PUN	,
christian	NOM	christian
rayot	ADJ	rayot
,	PUN	,
a	VER:pres	avoir
présidé	VER:pper	présider
la	DET:ART	le
première	NUM	premier
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
de	PRP	de
cette	PRO:DEM	ce
nouvelle	ADJ	nouveau
année	NOM	année
.	SENT	.
ecole	NOM	ecole
maternelle	ADJ	maternel
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
expliqué	VER:pper	expliquer
au	PRP:det	au
conseil	NOM	conseil
municipal	ADJ	municipal
que	KON	que
les	DET:ART	le
travaux	NOM	travail
de	PRP	de
construction	NOM	construction
de	PRP	de
l'	DET:ART	le
école	NOM	école
maternelle	ADJ	maternel
étaient	VER:impf	être
fixés	VER:pper	fixer
à	PRP	à
725.468	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
pour	PRP	pour
financer	VER:infi	financer
l'	DET:ART	le
opération	NOM	opération
,	PUN	,
une	DET:ART	un
aide	NOM	aide
financière	ADJ	financier
au	PRP:det	au
titre	NOM	titre
de	PRP	de
la	DET:ART	le
dge	NOM	dge
pourrait	VER:cond	pouvoir
être	VER:infi	être
sollicitée	VER:pper	solliciter
auprès	ADV	auprès
de	PRP	de
l'	DET:ART	le
etat	NOM	etat
.	SENT	.
après	PRP	après
délibération	NOM	délibération
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
adopte	VER:pres	adopter
l'	DET:ART	le
avant-projet	NOM	avant-projet
,	PUN	,
ceux-ci	ADJ	ceux-ci
débuteront	VER:futu	débuter
en	PRP	en
2003	NUM	@card@
et	KON	et
arrête	VER:pres	arrêter
le	DET:ART	le
plan	NOM	plan
de	PRP	de
financement	NOM	financement
comme	ADV	comme
suit	VER:pres	suivre
:	PUN	:
dge	ADJ	dge
:	PUN	:
145.893	NUM	@card@
	NOM	
;	PUN	;
commune	NOM	commune
:	PUN	:
583.575	NUM	@card@
.	ABR	.
assainissement	NOM	assainissement
vieux	ADJ	vieux
village	NOM	village
l'	DET:ART	le
avant-projet	NOM	avant-projet
des	PRP:det	du
travaux	NOM	travail
d'	PRP	de
assainissement	NOM	assainissement
du	PRP:det	du
vieux	ADJ	vieux
village	NOM	village
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
570.610	NUM	@card@
	NOM	
ht	ADJ	ht
et	KON	et
devraient	VER:cond	devoir
s'	PRO:PER	se
exécuter	VER:infi	exécuter
en	PRP	en
2003	NUM	@card@
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
adopte	VER:pres	adopter
l'	DET:ART	le
avant-projet	NOM	avant-projet
et	KON	et
arrête	VER:pres	arrêter
le	DET:ART	le
plan	NOM	plan
de	PRP	de
financement	NOM	financement
comme	ADV	comme
suit	VER:pres	suivre
:	PUN	:
dge	ADJ	dge
:	PUN	:
142.652	NUM	@card@
	NOM	
ht	ADJ	ht
(	PUN	(
sollicité	VER:pper	solliciter
)	PUN	)
;	PUN	;
fedga	NOM	fedga
:	PUN	:
228.244	NUM	@card@
	NOM	
(	PUN	(
sollicité	VER:pper	solliciter
)	PUN	)
;	PUN	;
part	NOM	part
commune	ADJ	commun
:	PUN	:
199.714	NUM	@card@
.	ABR	.
bibliothèque	NOM	bibliothèque
le	DET:ART	le
maire	NOM	maire
expose	VER:pres	exposer
au	PRP:det	au
conseil	NOM	conseil
municipal	ADJ	municipal
que	KON	que
la	DET:ART	le
modernisation	NOM	modernisation
«	PUN:cit	«
informatique	ADJ	informatique
»	PUN:cit	»
de	PRP	de
la	DET:ART	le
bibliothèque	NOM	bibliothèque
municipale	ADJ	municipal
