déplier	VER:infi	déplier
la	DET:ART	le
musique	NOM	musique
.	SENT	.
l'	DET:ART	le
espagne	NOM	espagne
à	PRP	à
travers	NOM	travers
les	DET:ART	le
compositeurs	NOM	compositeur
français	ADJ	français
.	SENT	.
ohana	NOM	ohana
,	PUN	,
ravel	NOM	ravel
,	PUN	,
bizet	NOM	bizet
.	SENT	.
conservatoire	ADJ	conservatoire
,	PUN	,
salle	NOM	salle
messiaen	ADJ	messiaen
,	PUN	,
mercredi	NOM	mercredi
8	NUM	@card@
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
fjt	NOM	fjt
les	DET:ART	le
oiseaux	NOM	oiseau
.	SENT	.
expo	NOM	expo
photos	NOM	photo
:	PUN	:
bali	VER:pper	bali
par	PRP	par
sylvain	ADJ	sylvain
tardy	NOM	tardy
.	SENT	.
du	PRP:det	du
6	NUM	@card@
au	PRP:det	au
19	NUM	@card@
janvier	NOM	janvier
.	SENT	.
-	PUN	-
cinéma	NOM	cinéma
:	PUN	:
«	PUN:cit	«
huit	NUM	huit
femmes	NOM	femme
»,	ADJ	»,
de	PRP	de
françois	ADJ	françois
ozon	NOM	ozon
.	SENT	.
jeudi	NOM	jeudi
9	NUM	@card@
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
