+	SYM	+
quatre	NUM	quatre
compagnons	NOM	compagnon
scouts	NOM	scout
de	PRP	de
france	NOM	france
,	PUN	,
alexia	NOM	alexia
,	PUN	,
jessica	NOM	jessica
,	PUN	,
lysiane	NOM	lysiane
et	KON	et
bénédicte	NOM	bénédicte
,	PUN	,
sont	VER:pres	être
partis	VER:pper	partir
durant	PRP	durant
un	DET:ART	un
mois	NOM	moi|mois
en	PRP	en
guinée	NOM	guinée
,	PUN	,
pour	PRP	pour
réaliser	VER:infi	réaliser
un	DET:ART	un
projet	NOM	projet
humanitaire	ADJ	humanitaire
en	PRP	en
partenariat	NOM	partenariat
avec	PRP	avec
9	NUM	@card@
scouts	NOM	scout
guinéens	NOM	guinéens
.	SENT	.
dans	PRP	dans
la	DET:ART	le
ville	NOM	ville
de	PRP	de
boffa	NOM	boffa
,	PUN	,
située	VER:pper	situer
dans	PRP	dans
la	DET:ART	le
région	NOM	région
de	PRP	de
basse	ADJ	bas
côte	NOM	côte
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
repeint	VER:pper	repeindre
les	DET:ART	le
murs	NOM	mur
d'	PRP	de
une	DET:ART	un
école	NOM	école
publique	ADJ	publique
(	PUN	(
ceux	PRO:DEM	celui
de	PRP	de
4	NUM	@card@
salles	NOM	salle
de	PRP	de
classes	NOM	classe
et	KON	et
ceux	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
extérieur	NOM	extérieur
).	ADJ	).
a	VER:pres	avoir
conakry	NOM	conakry
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
fait	VER:pper	faire
de	PRP	de
l'	DET:ART	le
animation	NOM	animation
et	KON	et
donné	VER:pper	donner
des	PRP:det	du
cours	NOM	cour|cours
d'	PRP	de
alphabétisation	NOM	alphabétisation
à	PRP	à
50	NUM	@card@
enfants	NOM	enfant
mendiants	NOM	mendiant
de	PRP	de
la	DET:ART	le
ville	NOM	ville
.	SENT	.
«	PUN:cit	«
en	PRP	en
travaillant	VER:ppre	travailler
avec	PRP	avec
ces	PRO:DEM	ce
enfants	NOM	enfant
,	PUN	,
nous	PRO:PER	nous
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
rendu	VER:pper	rendre
compte	NOM	compte
à	PRP	à
quel	PRO:REL	quel
point	ADV	point
nous	PRO:PER	nous
étions	VER:impf	être
,	PUN	,
nous	PRO:PER	nous
,	PUN	,
français	ADJ	français
,	PUN	,
privilégiés	VER:pper	privilégier
»	PUN:cit	»
durant	PRP	durant
un	DET:ART	un
mois	NOM	moi|mois
,	PUN	,
les	DET:ART	le
quatre	NUM	quatre
scouts	NOM	scout
ont	VER:pres	avoir
vécu	VER:pper	vivre
dans	PRP	dans
l'	DET:ART	le
ambiance	NOM	ambiance
guinéenne	NOM	guinéenne
:	PUN	:
marchés	NOM	marché
multicolores	ADJ	multicolore
animés	VER:pper	animer
,	PUN	,
rencontres	NOM	rencontre
avec	PRP	avec
les	DET:ART	le
habitants	NOM	habitant
toujours	ADV	toujours
chaleureuses	ADJ	chaleureux
,	PUN	,
bonne	ADJ	bon
humeur	NOM	humeur
débordante	ADJ	débordant
et	KON	et
rires	NOM	rire
accompagnant	VER:ppre	accompagner
les	DET:ART	le
journées	NOM	journée
de	PRP	de
travail	NOM	travail
,	PUN	,
longues	ADJ	longue
veillées	NOM	veillée
passées	VER:pper	passer
à	PRP	à
partager	VER:infi	partager
un	DET:ART	un
peu	ADV	peu
des	PRP:det	du
expériences	NOM	expérience
de	PRP	de
vie	NOM	vie
et	KON	et
à	PRP	à
essayer	VER:infi	essayer|essayer
de	PRP	de
comprendre	VER:infi	comprendre
les	DET:ART	le
différence	NOM	différence
entre	PRP	entre
les	DET:ART	le
cultures	NOM	culture
:	PUN	:
«	PUN:cit	«
en	PRP	en
quelques	PRO:IND	quelque
mots	NOM	mot
,	PUN	,
sourires	NOM	sourire
,	PUN	,
bonheur	NOM	bonheur
et	KON	et
joie	NOM	joie
de	PRP	de
vivre	VER:infi	vivre
ont	VER:pres	avoir
été	VER:pper	être
nos	DET:POS	notre
compagnons	NOM	compagnon
de	PRP	de
route	NOM	route
pendant	PRP	pendant
ce	PRO:DEM	ce
mois	NOM	moi|mois
.	SENT	.
bonheur	NOM	bonheur
surtout	ADV	surtout
,	PUN	,
d'	PRP	de
avoir	VER:infi	avoir
pu	VER:pper	pouvoir
nous	PRO:PER	nous
rendre	VER:infi	rendre
utiles	NOM	utile
auprès	ADV	auprès
des	PRP:det	du
plus	ADV	plus
démunis	VER:pper	démunir
.	SENT	.
ce	PRO:DEM	ce
fut	VER:simp	être
une	DET:ART	un
expérience	NOM	expérience
humainement	ADV	humainement
très	ADV	très
enrichissante	ADJ	enrichissant
que	KON	que
nous	PRO:PER	nous
souhaiterions	VER:cond	souhaiter
vivement	ADV	vivement
pouvoir	VER:infi	pouvoir
renouveler	VER:infi	renouveler
un	DET:ART	un
jour	NOM	jour
».	ABR	».
diaporama	NOM	diaporama
ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
paroissiale	ADJ	paroissial
,	PUN	,
place	NOM	place
de	PRP	de
l'	DET:ART	le
atre	NOM	atre
à	PRP	à
epinal	NOM	epinal
.	SENT	.
