chorale	ADJ	choral
:	PUN	:
réunion	NOM	réunion
de	PRP	de
travail	NOM	travail
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
gymnastique	ADJ	gymnastique
:	PUN	:
séances	NOM	séance
avec	PRP	avec
«	PUN:cit	«
cultur	NOM	cultur
o'	ADJ	o'
corps	NOM	corps
»,	ADJ	»,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
ecole	NOM	ecole
de	PRP	de
musiciens	NOM	musicien
:	PUN	:
cours	NOM	cour|cours
avec	PRP	avec
pierre-marie	NOM	pierre-marie
budelot	ADJ	budelot
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
«	PUN:cit	«
ùla	VER:simp	ùla
vallée	NOM	vallée
du	PRP:det	du
salon	NOM	salon
»	PUN:cit	»
:	PUN	:
réunion	NOM	réunion
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
couyba	VER:simp	couyba
.	SENT	.
judo	NOM	judo
:	PUN	:
séance	NOM	séance
de	PRP	de
formation	NOM	formation
pour	PRP	pour
les	DET:ART	le
débutants	ADJ	débutant
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
ciné-foyer	NOM	ciné-foyer
:	PUN	:
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
sera	VER:futu	être
diffué	VER:pper	diffué
«	PUN:cit	«
le	DET:ART	le
seigneur	NOM	seigneur
des	PRP:det	du
anneaux	NOM	anneau
:	PUN	:
les	DET:ART	le
deux	NUM	deux
tours	NOM	tour
»,	ADJ	»,
une	DET:ART	un
épopée	NOM	épopée
fantastique	ADJ	fantastique
.	SENT	.
