mme	VER:cond	mme
joëlle	VER:futu	joëlle
di	VER:pper	di
sangro	NOM	sangro
29	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général	ADJ	général
leclerc	NOM	leclerc
54300	NUM	@card@
lunéville	NOM	lunéville
.	SENT	.
je	PRO:PER	je
souhaite	VER:pres	souhaiter
réagir	VER:infi	réagir
à	PRP	à
la	DET:ART	le
lettre	NOM	lettre
de	PRP	de
m.	ABR	m.
jeanroy	NOM	jeanroy
,	PUN	,
de	PRP	de
briaucourt	NOM	briaucourt
,	PUN	,
mettant	VER:ppre	mettre
en	PRP	en
cause	NOM	cause
la	DET:ART	le
ville	NOM	ville
de	PRP	de
lunéville	NAM	Lunéville
et	KON	et
sa	DET:POS	son
responsabilité	NOM	responsabilité
dans	PRP	dans
l'	DET:ART	le
incendie	NOM	incendie
du	PRP:det	du
château	NOM	château
.	SENT	.
je	PRO:PER	je
pense	VER:pres	penser
,	PUN	,
tout	ADV	tout
d'	PRP	de
abord	NOM	abord
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
le	DET:ART	le
c	NOM	c
	ADJ	
ur	VER:simp	ur
bien	ADV	bien
asséché	VER:pper	assécher
pour	PRP	pour
réagir	VER:infi	réagir
avec	PRP	avec
révolte	NOM	révolte
devant	PRP	devant
l'	DET:ART	le
émotion	NOM	émotion
de	PRP	de
personnes	NOM	personne
confrontées	VER:pper	confronter
à	PRP	à
un	DET:ART	un
événement	NOM	événement
aussi	ADV	aussi
dramatique	ADJ	dramatique
;	PUN	;
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
bien	ADV	bien
peu	ADV	peu
réfléchi	VER:pper	réfléchir
pour	PRP	pour
intervenir	VER:infi	intervenir
avec	PRP	avec
véhémence	NOM	véhémence
sans	PRP	sans
connaître	VER:infi	connaître
le	DET:ART	le
contexte	NOM	contexte
particulier	ADJ	particulier
de	PRP	de
ce	PRO:DEM	ce
drame	NOM	drame
:	PUN	:
vents	NOM	vent
soufflant	VER:ppre	souffler
à	PRP	à
plus	ADV	plus
de	PRP	de
100	NUM	@card@
km/h	ABR	kilomètres-heure
,	PUN	,
tempête	NOM	tempête
(	PUN	(
et	KON	et
je	PRO:PER	je
salue	VER:pres	saluer
ici	ADV	ici
le	DET:ART	le
courage	NOM	courage
exceptionnel	ADJ	exceptionnel
des	PRP:det	du
casernes	NOM	caserne
de	PRP	de
pompiers	ADJ	pompier
présentes	NOM	présent
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
et	KON	et
la	DET:ART	le
bravoure	NOM	bravoure
des	PRP:det	du
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
!).	VER:ppre	!).
cette	PRO:DEM	ce
lutte	VER:pres	lutter
contre	PRP	contre
les	DET:ART	le
éléments	NOM	élément
fut	VER:simp	être
dantesque	ADJ	dantesque
!	SENT	!
je	PRO:PER	je
regrette	VER:pres	regretter
,	PUN	,
pour	PRP	pour
finir	VER:infi	finir
,	PUN	,
que	KON	que
m.	VER:subi	m.
jeanroy	NOM	jeanroy
pense	VER:pres	penser
s'	PRO:PER	se
appauvrir	VER:infi	appauvrir
,	PUN	,
d'	PRP	de
une	DET:ART	un
manière	NOM	manière
ou	KON	ou
d'	PRP	de
une	DET:ART	un
autre	ADJ	autre
,	PUN	,
en	PRP	en
raison	NOM	raison
du	PRP:det	du
sinistre	NOM	sinistre
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
abattu	VER:pper	abattre
sur	PRP	sur
notre	DET:POS	notre
ville	NOM	ville
...	PUN	...
car	KON	car
nous	PRO:PER	nous
,	PUN	,
lunévillois	ADJ	lunévillois
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
âme	NOM	âme
et	KON	et
la	DET:ART	le
mémoire	NOM	mémoire
de	PRP	de
notre	DET:POS	notre
chère	ADJ	cher
cité	NOM	cité
que	PRO:REL	que
nous	PRO:PER	nous
avons	VER:pres	avoir
,	PUN	,
hélas	VER:simp	héler
,	PUN	,
vu	VER:pper	voir
partir	VER:infi	partir
en	PRP	en
fumée	NOM	fumée
...	PUN	...
et	KON	et
que	KON	que
cela	PRO:DEM	cela
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
prix	NOM	prix
.	SENT	.
