pakistan	NAM	Pakistan
.	SENT	.
-	PUN	-
la	DET:ART	le
police	NOM	police
pakistanaise	ADJ	pakistanais
a	VER:pres	avoir
arrêté	VER:pper	arrêter
21	NUM	@card@
militants	ADJ	militant
islamistes	ADJ	islamiste
qui	PRO:REL	qui
tentaient	VER:impf	tenter
de	PRP	de
reconstituer	VER:infi	reconstituer
,	PUN	,
au	PRP:det	au
sud	NOM	sud
de	PRP	de
peshawar	NOM	peshawar
et	KON	et
à	PRP	à
150	NUM	@card@
km	ABR	kilomètre
de	PRP	de
la	DET:ART	le
frontière	NOM	frontière
afghane	ADJ	afghan
,	PUN	,
le	DET:ART	le
groupe	NOM	groupe
interdit	VER:pres	interdire
harkatul	NOM	harkatul
mujahedin	NOM	mujahedin
,	PUN	,
inscrit	VER:pper	inscrire
sur	PRP	sur
la	DET:ART	le
liste	NOM	liste
des	PRP:det	du
etats-unis	NOM	etats-unis
des	PRP:det	du
organisations	NOM	organisation
terroristes	ADJ	terroriste
.	SENT	.
des	PRP:det	du
armes	NOM	arme
et	KON	et
des	PRP:det	du
munitions	NOM	munition
ont	VER:pres	avoir
été	VER:pper	être
saisies	VER:pper	saisir
.	SENT	.
népal	NOM	népal
.	SENT	.
-	PUN	-
la	DET:ART	le
rébellion	NOM	rébellion
maoïste	ADJ	maoïste
et	KON	et
le	DET:ART	le
gouvernement	NOM	gouvernement
du	PRP:det	du
népal	NOM	népal
ont	VER:pres	avoir
annoncé	VER:pper	annoncer
l'	DET:ART	le
instauration	NOM	instauration
d'	PRP	de
un	DET:ART	un
cessez-le-feu	NOM	cessez-le-feu
avec	PRP	avec
le	DET:ART	le
gouvernement	NOM	gouvernement
népalais	ADJ	népalais
qui	PRO:REL	qui
prend	VER:pres	prendre
effet	NOM	effet
immédiatement	ADV	immédiatement
.	SENT	.
les	DET:ART	le
combats	NOM	combat
entre	PRP	entre
rebelles	ADJ	rebelle
et	KON	et
loyalistes	ADJ	loyaliste
ont	VER:pres	avoir
fait	VER:pper	faire
7.800	NUM	@card@
morts	NOM	mort
depuis	PRP	depuis
1996	NUM	@card@
la	DET:ART	le
dernière	ADJ	dernier
victime	NOM	victime
a	VER:pres	avoir
été	VER:pper	être
le	DET:ART	le
chef	NOM	chef
de	PRP	de
la	DET:ART	le
police	NOM	police
krishna	NOM	krishna
mohan	NOM	mohan
shrestha	NOM	shrestha
,	PUN	,
sa	DET:POS	son
femme	NOM	femme
et	KON	et
leur	DET:POS	leur
garde	NOM	garde
du	PRP:det	du
coprs	NOM	coprs
assassinés	VER:pper	assassiner
dimanche	NOM	dimanche
près	ADV	près
de	PRP	de
katmandou	NOM	katmandou
.	SENT	.
thaïlande	NOM	thaïlande
.	SENT	.
-	PUN	-
une	DET:ART	un
centaine	NOM	centaine
de	PRP	de
jeunes	ADJ	jeune
manifestants	NOM	manifestant
ont	VER:pres	avoir
pris	VER:pper	prendre
d'	PRP	de
assaut	NOM	assaut
et	KON	et
incendié	VER:pper	incendier
hier	VER:infi	hier
l'	DET:ART	le
ambassade	NOM	ambassade
de	PRP	de
thaïlande	NOM	thaïlande
à	PRP	à
phnom	NOM	phnom
penh	ADJ	penh
pour	PRP	pour
protester	VER:infi	protester
contre	PRP	contre
des	PRP:det	du
propos	NOM	propos
anti-cambodgiens	ADJ	anti-cambodgiens
attribués	VER:pper	attribuer
à	PRP	à
une	DET:ART	un
actrice	NOM	acteur|actrice
thaïlandaise	ADJ	thaïlandais
selon	PRP	selon
lesquels	PRO:REL	lequel
les	DET:ART	le
temples	NOM	temple
d'	PRP	de
angkor	NOM	angkor
appartenaient	VER:impf	appartenir
à	PRP	à
la	DET:ART	le
thaïlande	NOM	thaïlande
et	KON	et
devaient	VER:impf	devoir
lui	PRO:PER	lui
être	VER:infi	être
restitués	VER:pper	restituer
.	SENT	.
