epinal	NOM	epinal
.	SENT	.
_	ADJ	_
dimanche	NOM	dimanche
soir	NOM	soir
,	PUN	,
le	DET:ART	le
calendrier	NOM	calendrier
est	VER:pres	être
parvenu	VER:pper	parvenir
au	PRP:det	au
tiers	NOM	tiers
de	PRP	de
la	DET:ART	le
saison	NOM	saison
.	SENT	.
il	PRO:PER	il
reste	VER:pres	rester
27	NUM	@card@
épreuves	NOM	épreuve
à	PRP	à
disputer	VER:infi	disputer
pour	PRP	pour
les	DET:ART	le
skieurs	NOM	skieur
du	PRP:det	du
versant	NOM	versant
vosgien	ADJ	vosgien
,	PUN	,
toutes	PRO:IND	tout
catégories	NOM	catégorie
confondues	VER:pper	confondre
.	SENT	.
depuis	PRP	depuis
l'	DET:ART	le
ouverture	NOM	ouverture
prévue	VER:pper	prévoir
le	DET:ART	le
7	NUM	@card@
décembre	NOM	décembre
,	PUN	,
14	NUM	@card@
courses	NOM	course
étaient	VER:impf	être
programmées	VER:pper	programmer
.	SENT	.
trois	NUM	trois
d'	PRP	de
entre	PRP	entre
elles	PRO:PER	elle
seulement	ADV	seulement
ont	VER:pres	avoir
été	VER:pper	être
maintenues	VER:pper	maintenir
.	SENT	.
les	DET:ART	le
dix	NUM	dix
autres	ADJ	autre
ont	VER:pres	avoir
été	VER:pper	être
reportées	VER:pper	reporter
ou	KON	ou
annulées	VER:pper	annuler
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
dire	VER:infi	dire
successivement	ADV	successivement
le	DET:ART	le
7	NUM	@card@
décembre	NOM	décembre
à	PRP	à
gérardmer	NOM	gérardmer
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	ADJ	lorrain
),	NOM	),
le	DET:ART	le
8	NUM	@card@
à	PRP	à
la	DET:ART	le
bresse-vologne	NOM	bresse-vologne
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
).	VER:subi	).
puis	ADV	puis
le	DET:ART	le
15	NUM	@card@
au	PRP:det	au
rouge-gazon	NOM	rouge-gazon
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
)	PUN	)
et	KON	et
à	PRP	à
gérardmer	NOM	gérardmer
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
des	PRP:det	du
jeunes	NOM	jeune
)	PUN	)
et	KON	et
le	DET:ART	le
22	NUM	@card@
à	PRP	à
ventron	NOM	ventron
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
).	VER:subi	).
ensuite	ADV	ensuite
,	PUN	,
en	PRP	en
janvier	NOM	janvier
.	SENT	.
le	DET:ART	le
5	NUM	@card@
à	PRP	à
ventron	NOM	ventron
(	PUN	(
coupe	VER:pres	couper
du	PRP:det	du
massif	NOM	massif
vosgien	ADJ	vosgien
),	ADJ	),
à	PRP	à
la	DET:ART	le
bresse-vologne	NOM	bresse-vologne
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
)	PUN	)
et	KON	et
la	DET:ART	le
bresse-lispach	NOM	bresse-lispach
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
des	PRP:det	du
jeunes	NOM	jeune
).	VER:cond	).
le	DET:ART	le
12	NUM	@card@
au	PRP:det	au
markstein	NOM	markstein
(	PUN	(
coupe	VER:pres	couper
du	PRP:det	du
massif	NOM	massif
vosgien	ADJ	vosgien
)	PUN	)
et	KON	et
le	DET:ART	le
19	NUM	@card@
au	PRP:det	au
marsktein	NOM	marsktein
(	PUN	(
coupe	VER:pres	couper
du	PRP:det	du
massif	NOM	massif
vosgien	ADJ	vosgien
des	PRP:det	du
jeunes	NOM	jeune
)	PUN	)
et	KON	et
au	PRP:det	au
rouge-gazon	NOM	rouge-gazon
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
).	ABR	).
quatre	NUM	quatre
courses	NOM	course
ont	VER:pres	avoir
échappé	VER:pper	échapper
au	PRP:det	au
naufrage	NOM	naufrage
:	PUN	:
le	DET:ART	le
12	NUM	@card@
janvier	NOM	janvier
à	PRP	à
bussang-larcenaire	NOM	bussang-larcenaire
(	PUN	(
coupe	VER:pres	couper
de	PRP	de
lorraine	NOM	lorrain
des	PRP:det	du
jeunes	ADJ	jeune
),	NOM	),
le	DET:ART	le
17	NUM	@card@
au	PRP:det	au
markstein	NOM	markstein
(	PUN	(
coupe	VER:pres	couper
du	PRP:det	du
massif	NOM	massif
vosgien	ADJ	vosgien
des	PRP:det	du
...	PUN	...
masters	NOM	masters
),	NOM	),
le	DET:ART	le
18	NUM	@card@
au	PRP:det	au
bonhomme	NOM	bonhomme
(	PUN	(
course	NOM	course
open	ADJ	open
).	VER:simp	).
et	KON	et
dans	PRP	dans
la	DET:ART	le
très	ADV	très
hospitalière	ADJ	hospitalier
station	NOM	station
de	PRP	de
bussang-larcenaire	NOM	bussang-larcenaire
qui	PRO:REL	qui
a	VER:pres	avoir
accueilli	VER:pper	accueillir
une	DET:ART	un
coupe	NOM	coupe
de	PRP	de
lorraine	NOM	lorrain
des	PRP:det	du
jeunes	NOM	jeune
avancée	VER:pper	avancer
du	PRP:det	du
9	NUM	@card@
mars	NOM	mars
au	PRP:det	au
19	NUM	@card@
janvier	NOM	janvier
.	SENT	.
