bravant	VER:ppre	braver
le	DET:ART	le
froid	NOM	froid
,	PUN	,
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
petits	ADJ	petit
élèves	NOM	élève
,	PUN	,
des	PRP:det	du
classes	NOM	classe
de	PRP	de
cp	NOM	cp
et	KON	et
ce	PRO:DEM	ce
1	NUM	@card@
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
la	DET:ART	le
houillère	NOM	houillère
sont	VER:pres	être
venus	VER:pper	venir
remettre	VER:infi	remettre
leur	DET:POS	leur
«	PUN:cit	«
récolte	NOM	récolte
»	PUN:cit	»
de	PRP	de
pièces	NOM	pièce
jaunes	ADJ	jaune
,	PUN	,
au	PRP:det	au
responsable	ADJ	responsable
du	PRP:det	du
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
,	PUN	,
bernard	NOM	bernard
cavaillès	NOM	cavaillès
et	KON	et
à	PRP	à
l'	DET:ART	le
employée	NOM	employé
nathalie	VER:pper	nathalie
halem	NOM	halem
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
de	PRP	de
3	NUM	@card@
kg	ABR	kg
de	PRP	de
pièces	NOM	pièce
jaunes	ADJ	jaune
qui	PRO:REL	qui
iront	VER:futu	aller
servir	VER:infi	servir
«	PUN:cit	«
la	DET:ART	le
cause	NOM	cause
des	PRP:det	du
enfants	NOM	enfant
malades	ADJ	malade
».	VER:simp	».
une	DET:ART	un
belle	ADJ	beau
action	NOM	action
,	PUN	,
qui	PRO:REL	qui
rencontre	VER:pres	rencontrer
une	DET:ART	un
grande	ADJ	grand
motivation	NOM	motivation
chez	PRP	chez
les	DET:ART	le
enfants	NOM	enfant
qui	PRO:REL	qui
savent	VER:pres	savoir
comprendre	VER:infi	comprendre
le	DET:ART	le
bonheur	NOM	bonheur
qu'	PRO:REL	que
ils	PRO:PER	il
ont	VER:pres	avoir
«	PUN:cit	«
de	PRP	de
pouvoir	VER:infi	pouvoir
bouger	VER:infi	bouger
,	PUN	,
rire	VER:infi	rire
»	PUN:cit	»
et	KON	et
qui	PRO:REL	qui
les	PRO:PER	la|le
rapprochent	VER:pres	rapprocher
de	PRP	de
ceux	PRO:DEM	celui
qui	PRO:REL	qui
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
cette	PRO:DEM	ce
chance	NOM	chance
.	SENT	.
ces	PRO:DEM	ce
enfants	NOM	enfant
qui	PRO:REL	qui
peuvent	VER:pres	pouvoir
dire	VER:infi	dire
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
n'	ADV	ne
existe	VER:pres	exister
pas	ADV	pas
d'	PRP	de
autre	ADJ	autre
voie	NOM	voie
vers	PRP	vers
la	DET:ART	le
solidarité	NOM	solidarité
humaine	ADJ	humain
que	KON	que
la	DET:ART	le
recherche	NOM	recherche
et	KON	et
le	DET:ART	le
respect	NOM	respect
de	PRP	de
la	DET:ART	le
dignité	NOM	dignité
individuelle	ADJ	individuel
».=	ADJ	».=
