présentant	VER:ppre	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
samedi	NOM	samedi
après-midi	NOM	après-midi
,	PUN	,
alain	NOM	alain
marguet	NOM	marguet
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
,	PUN	,
était	VER:impf	être
accompagné	VER:pper	accompagner
de	PRP	de
jean-françois	ADJ	jean-françois
humbert	NOM	humbert
,	PUN	,
sénateur	NOM	sénateur
et	KON	et
président	NOM	président
du	PRP:det	du
conseil	NOM	conseil
régional	ADJ	régional
,	PUN	,
jean-marie	NOM	jean-marie
binetruy	NOM	binetruy
,	PUN	,
député	VER:pper	députer
,	PUN	,
et	KON	et
christian	NOM	christian
coutal	ADJ	coutal
,	PUN	,
président	NOM	président
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
de	PRP	de
montbenoît	NOM	montbenoît
.	SENT	.
fabrice	ADJ	fabrice
tyrode	NOM	tyrode
,	PUN	,
maire	NOM	maire
de	PRP	de
ouhans	NOM	ouhans
,	PUN	,
les	PRO:PER	la|le
a	VER:pres	avoir
accueillis	VER:pper	accueillir
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
du	PRP:det	du
village	NOM	village
.	SENT	.
après	PRP	après
le	DET:ART	le
bilan	NOM	bilan
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
,	PUN	,
alain	NOM	alain
marguet	NOM	marguet
a	VER:pres	avoir
brossé	VER:pper	brosser
un	DET:ART	un
rapide	ADJ	rapide
tour	NOM	tour
d'	PRP	de
horizon	NOM	horizon
des	PRP:det	du
projets	NOM	projet
du	PRP:det	du
conseil	NOM	conseil
général	ADJ	général
pour	PRP	pour
2003	NUM	@card@
«	PUN:cit	«
avec	PRP	avec
un	DET:ART	un
budget	NOM	budget
en	PRP	en
progression	NOM	progression
de	PRP	de
10	NUM	@card@
%	SYM	%
par	PRP	par
rapport	NOM	rapport
à	PRP	à
2002	NUM	@card@
il	PRO:PER	il
faut	VER:pres	falloir
compter	VER:infi	compter
une	DET:ART	un
hausse	NOM	hausse
de	PRP	de
15	NUM	@card@
%	SYM	%
de	PRP	de
fonctionnement	NOM	fonctionnement
à	PRP	à
cause	NOM	cause
des	PRP:det	du
nouvelles	ADJ	nouveau
responsabilités	NOM	responsabilité
financières	ADJ	financier
confiées	VER:pper	confier
par	PRP	par
l'	DET:ART	le
etat	NOM	etat
aux	PRP:det	au
départements	NOM	département
»,	ADJ	»,
a-t-il	ADJ	a-t-il
expliqué	VER:pper	expliquer
.	SENT	.
«	PUN:cit	«
dans	PRP	dans
ce	PRO:DEM	ce
contexte	NOM	contexte
financier	ADJ	financier
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
préserve	VER:pres	préserver
ses	DET:POS	son
engagements	NOM	engagement
dans	PRP	dans
plusieurs	PRO:IND	plusieurs
domaines	NOM	domaine
:	PUN	:
le	DET:ART	le
programme	NOM	programme
collège	NOM	collège
2010	NUM	@card@
le	DET:ART	le
programme	NOM	programme
''	ADJ	''
doubs	NOM	doubs
propre	ADJ	propre
2005	NUM	@card@
''.	ABR	''.
les	DET:ART	le
travaux	NOM	travail
routiers	ADJ	routier
gelés	VER:pper	geler
en	PRP	en
2002	NUM	@card@
reprendront	VER:futu	reprendre
en	PRP	en
2003	NUM	@card@
»	PUN:cit	»
m.	ABR	m.
coutal	NOM	coutal
s'	PRO:PER	se
est	VER:pres	être
félicité	VER:pper	féliciter
du	PRP:det	du
très	ADV	très
bon	ADJ	bon
travail	NOM	travail
et	KON	et
de	PRP	de
la	DET:ART	le
bonne	ADJ	bon
entente	NOM	entente
entre	PRP	entre
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
et	KON	et
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
de	PRP	de
montbenoît	NOM	montbenoît
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
juste	ADJ	juste
exprimé	VER:pper	exprimer
un	DET:ART	un
petit	ADJ	petit
regret	NOM	regret
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
règles	NOM	règle|règles
mises	VER:pper	mettre
en	PRP	en
place	NOM	place
par	PRP	par
l'	DET:ART	le
etat	NOM	etat
qui	PRO:REL	qui
auraient	VER:cond	avoir
tendance	NOM	tendance
à	PRP	à
privilégier	VER:infi	privilégier
le	DET:ART	le
monde	NOM	monde
urbain	ADJ	urbain
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
monde	NOM	monde
rural	ADJ	rural
.	SENT	.
