succédant	VER:ppre	succéder
à	PRP	à
dominique	ADJ	dominique
bari	NOM	bari
,	PUN	,
directeur	NOM	directeur
de	PRP	de
centres	NOM	centre
de	PRP	de
loisirs	NOM	loisir
francas	VER:simp	francas
durant	PRP	durant
de	PRP	de
nombreuses	ADJ	nombreux
années	NOM	année
,	PUN	,
nora	NOM	nora
issaad	NOM	issaad
vient	VER:pres	venir
de	PRP	de
prendre	VER:infi	prendre
ses	DET:POS	son
fonctions	NOM	fonction
de	PRP	de
référente	ADJ	référente
enfance	NOM	enfance
(	PUN	(
3	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
)	PUN	)
sur	PRP	sur
la	DET:ART	le
commune	NOM	commune
de	PRP	de
voujeaucourt	NOM	voujeaucourt
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
pour	KON	pour
missions	VER:subi	mettre
l'	DET:ART	le
accompagnement	NOM	accompagnement
des	PRP:det	du
enfants	NOM	enfant
à	PRP	à
la	DET:ART	le
restauration	NOM	restauration
scolaire	ADJ	scolaire
,	PUN	,
l'	DET:ART	le
animation	NOM	animation
et	KON	et
l'	DET:ART	le
encadrement	NOM	encadrement
des	PRP:det	du
centres	NOM	centre
aérés	VER:pper	aérer
pour	PRP	pour
les	DET:ART	le
vacances	NOM	vacance
de	PRP	de
février	NOM	février
,	PUN	,
pâques	NOM	pâque|pâques
,	PUN	,
juillet	NOM	juillet
et	KON	et
la	DET:ART	le
toussaint	NOM	toussaint
.	SENT	.
une	DET:ART	un
petite	ADJ	petit
nouveauté	NOM	nouveauté
après	PRP	après
les	DET:ART	le
vacances	NOM	vacance
de	PRP	de
février	NOM	février
sera	VER:futu	être
l'	DET:ART	le
accueil	NOM	accueil
des	PRP:det	du
écoles	NOM	école
primaires	ADJ	primaire
matin	NOM	matin
et	KON	et
soir	NOM	soir
.	SENT	.
animatrice	ADJ	animateur
depuis	PRP	depuis
1991	NUM	@card@
et	KON	et
directrice	ADJ	directeur
depuis	PRP	depuis
1998	NUM	@card@
sur	PRP	sur
le	DET:ART	le
pays	NOM	pays
de	PRP	de
montbéliard	NOM	montbéliard
,	PUN	,
nora	NOM	nora
occupa	VER:simp	occuper
parallèlement	ADV	parallèlement
l'	DET:ART	le
emploi	NOM	emploi
d'	PRP	de
aide-éducatrice	NOM	aide-éducatrice
dans	PRP	dans
une	DET:ART	un
école	NOM	école
primaire	ADJ	primaire
de	PRP	de
valentigney	NOM	valentigney
pendant	PRP	pendant
cinq	NUM	cinq
ans	NOM	an
.	SENT	.
ses	DET:POS	son
priorités	NOM	priorité
seront	VER:futu	être
de	PRP	de
faire	VER:infi	faire
que	KON	que
chaque	PRO:IND	chaque
enfant	NOM	enfant
trouve	VER:pres	trouver
sa	DET:POS	son
place	NOM	place
au	PRP:det	au
sein	NOM	sein
des	PRP:det	du
différentes	ADJ	différent
structures	NOM	structure
d'	PRP	de
accueil	NOM	accueil
et	KON	et
qu'	PRO:REL	que
il	PRO:PER	il
ait	VER:subp	avoir
la	DET:ART	le
