onze	NUM	onze
jeunes	NOM	jeune
de	PRP	de
l'	DET:ART	le
atelier	NOM	atelier
hip-hop	NOM	hip-hop
,	PUN	,
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
par	PRP	par
la	DET:ART	le
mairie	NOM	mairie
depuis	PRP	depuis
septembre	NOM	septembre
,	PUN	,
ont	VER:pres	avoir
participé	VER:pper	participer
bénévolement	ADV	bénévolement
à	PRP	à
l'	DET:ART	le
organisation	NOM	organisation
du	PRP:det	du
«	PUN:cit	«
total	ADJ	total
hip-hop	NOM	hip-hop
show	NOM	show
»,	ADJ	»,
organisé	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
association	NOM	association
city	VER:subp	city
lion	NOM	lion
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
grande	ADJ	grand
fierté	NOM	fierté
que	KON	que
julie	NOM	julie
,	PUN	,
coralie	NOM	coralie
,	PUN	,
ludivine	NOM	ludivine
,	PUN	,
sarah	NOM	sarah
,	PUN	,
naïm	NOM	naïm
,	PUN	,
lucie	NOM	lucie
,	PUN	,
marlène	NOM	marlène
,	PUN	,
johanna	ADJ	johanna
,	PUN	,
julie	NOM	julie
,	PUN	,
sophie	NOM	sophie
,	PUN	,
pascaline	ADJ	pascaline
,	PUN	,
accompagnés	VER:pper	accompagner
de	PRP	de
l'	DET:ART	le
animatrice	ADJ	animateur
jeunesse	NOM	jeunesse
,	PUN	,
laila	VER:simp	laila
aarab	NOM	aarab
,	PUN	,
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
l'	DET:ART	le
élaboration	NOM	élaboration
de	PRP	de
badges	NOM	badge
,	PUN	,
d'	PRP	de
affiches	NOM	affiche
,	PUN	,
de	PRP	de
plans	NOM	plan
,	PUN	,
et	KON	et
qu'	PRO:REL	que
ils	PRO:PER	il
ont	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
joie	NOM	joie
d'	PRP	de
accueillir	VER:infi	accueillir
les	DET:ART	le
plus	ADV	plus
grands	ADJ	grand
danseurs	NOM	danseur
hip-hop	NOM	hip-hop
du	PRP:det	du
moment	NOM	moment
(	PUN	(
benji	NOM	benji
,	PUN	,
wanted	NOM	wanted
,	PUN	,
pokemon	NOM	pokemon
...	PUN	...
)	PUN	)
au	PRP:det	au
parc	NOM	parc
des	PRP:det	du
expositions	NOM	exposition
à	PRP	à
belfort-andelnans	NOM	belfort-andelnans
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
passé	VER:pper	passer
une	DET:ART	un
superbe	ADJ	superbe
journée	NOM	journée
avec	PRP	avec
les	DET:ART	le
artistes	NOM	artiste
,	PUN	,
qui	PRO:REL	qui
leur	PRO:PER	lui
ont	VER:pres	avoir
donné	VER:pper	donner
des	PRP:det	du
cours	NOM	cour|cours
particuliers	ADJ	particulier
et	KON	et
ont	VER:pres	avoir
bien	ADV	bien
entendu	VER:pper	entendre
signé	VER:pper	signer
des	PRP:det	du
autographes	NOM	autographe
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
admiré	VER:pper	admirer
les	DET:ART	le
danseurs	NOM	danseur
sur	PRP	sur
scène	NOM	scène
,	PUN	,
nos	DET:POS	notre
artistes	NOM	artiste
en	PRP	en
herbe	NOM	herbe
ont	VER:pres	avoir
pu	VER:pper	pouvoir
se	PRO:PER	se
lâcher	VER:infi	lâcher
sur	PRP	sur
la	DET:ART	le
piste	NOM	piste
de	PRP	de
danse	NOM	danse
.	SENT	.
en	PRP	en
fin	NOM	fin
de	PRP	de
soirée	NOM	soirée
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
rentrés	VER:pper	rentrer
fatigués	VER:pper	fatiguer
,	PUN	,
mais	KON	mais
avec	PRP	avec
des	PRP:det	du
souvenirs	NOM	souvenir
inoubliables	ADJ	inoubliable
en	PRP	en
tête	NOM	tête
.	SENT	.
