avenue	ADJ	avenu
jean-jaurès	NOM	jean-jaurès
,	PUN	,
un	DET:ART	un
vol	NOM	vol
par	PRP	par
effraction	NOM	effraction
a	VER:pres	avoir
été	VER:pper	être
commis	VER:pper	commettre
au	PRP:det	au
domicile	NOM	domicile
d'	PRP	de
un	DET:ART	un
couple	NOM	couple
actuellement	ADV	actuellement
en	PRP	en
vacances	NOM	vacance
.	SENT	.
l'	DET:ART	le
effraction	NOM	effraction
a	VER:pres	avoir
été	VER:pper	être
signalée	VER:pper	signaler
par	PRP	par
un	DET:ART	un
voisin	NOM	voisin
.	SENT	.
l'	DET:ART	le
ensemble	NOM	ensemble
de	PRP	de
l'	DET:ART	le
habitation	NOM	habitation
a	VER:pres	avoir
été	VER:pper	être
visité	VER:pper	visiter
et	KON	et
fouillé	VER:pper	fouiller
.	SENT	.
une	DET:ART	un
enquête	NOM	enquête
est	VER:pres	être
en	PRP	en
cours	NOM	cour|cours
.	SENT	.
