expositions	NOM	exposition
-	PUN	-
histoires	NOM	histoire
au	PRP:det	au
fil	NOM	fil
du	PRP:det	du
lait	NOM	lait
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
chenevière	NOM	chenevière
à	PRP	à
montbéliard	NOM	montbéliard
:	PUN	:
lundi	NOM	lundi
,	PUN	,
mardi	NOM	mardi
,	PUN	,
jeudi	NOM	jeudi
et	KON	et
vendredi	NOM	vendredi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
mercredi	NOM	mercredi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
-	PUN	-
abc	NOM	abc
jouets	NOM	jouet
de	PRP	de
thuringe	NOM	thuringe
au	PRP:det	au
musée	NOM	musée
du	PRP:det	du
château	NOM	château
et	KON	et
au	PRP:det	au
musée	NOM	musée
d'	PRP	de
art	NOM	art
et	KON	et
d'	PRP	de
histoire	NOM	histoire
à	PRP	à
montbéliard	NOM	montbéliard
:	PUN	:
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
(	PUN	(
sauf	PRP	sauf
mardi	NOM	mardi
)	PUN	)
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
-	PUN	-
«	PUN:cit	«
double	ADJ	double
messieurs	NOM	messieurs
»	PUN:cit	»
au	PRP:det	au
19	NUM	@card@
centre	NOM	centre
régional	ADJ	régional
d'	PRP	de
art	NOM	art
contemporain	ADJ	contemporain
:	PUN	:
	ADJ	
uvres	NOM	uvres
de	PRP	de
richard	NOM	richard
fauguet	ADJ	fauguet
et	KON	et
daniel	ADJ	daniel
schlier	NOM	schlier
.	SENT	.
ainsi	ADV	ainsi
que	KON	que
de	PRP	de
rainier	NOM	rainier
lericolais	VER:impf	lericolais
.	SENT	.
du	PRP:det	du
mardi	NOM	mardi
au	PRP:det	au
samedi	NOM	samedi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
dimanche	NOM	dimanche
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
