div	NOM	div
le	DET:ART	le
bâtonnier	NOM	bâtonnier
de	PRP	de
l'	DET:ART	le
ordre	NOM	ordre
des	PRP:det	du
avocats	NOM	avocat
à	PRP	à
la	DET:ART	le
cour	NOM	cour
de	PRP	de
paris	NOM	pari
,	PUN	,
m	VER:simp	m
jean-rené	ADJ	jean-rené
farthouat	NOM	farthouat
a	VER:pres	avoir
envoyé	VER:pper	envoyer
une	DET:ART	un
lettre	NOM	lettre
aux	PRP:det	au
candidats	NOM	candidat
leur	PRO:PER	lui
posant	VER:ppre	poser
treize	NUM	treize
questions	NOM	question
sur	PRP	sur
leurs	DET:POS	leur
intentions	NOM	intention
en	PRP	en
matière	NOM	matière
de	PRP	de
justice	NOM	justice
le	DET:ART	le
bâtonnier	NOM	bâtonnier
de	PRP	de
l'	DET:ART	le
ordre	NOM	ordre
des	PRP:det	du
avocats	NOM	avocat
à	PRP	à
la	DET:ART	le
cour	NOM	cour
de	PRP	de
paris	NOM	pari
,	PUN	,
m	VER:simp	m
jean-rené	ADJ	jean-rené
farthouat	NOM	farthouat
,	PUN	,
a	VER:pres	avoir
envoyé	VER:pper	envoyer
,	PUN	,
le	DET:ART	le
31	NUM	@card@
janvier	NOM	janvier
,	PUN	,
une	DET:ART	un
lettre	NOM	lettre
aux	PRP:det	au
candidats	NOM	candidat
à	PRP	à
l'	DET:ART	le
élection	NOM	élection
présidentielle	ADJ	présidentiel
,	PUN	,
leur	PRO:PER	lui
posant	VER:ppre	poser
treize	NUM	treize
questions	NOM	question
sur	PRP	sur
leurs	DET:POS	leur
intentions	NOM	intention
en	PRP	en
matière	NOM	matière
de	PRP	de
justice	NOM	justice
.	SENT	.
m	ADJ	m
farthouat	NOM	farthouat
demande	VER:pres	demander
notamment	ADV	notamment
aux	PRP:det	au
candidats	NOM	candidat
s'	PRO:PER	se
ils	PRO:PER	il
souhaitent	VER:pres	souhaiter
que	KON	que
le	DET:ART	le
parquet	NOM	parquet
demeure	VER:pres	demeurer
soumis	VER:pper	soumettre
au	PRP:det	au
ministre	NOM	ministre
de	PRP	de
la	DET:ART	le
justice	NOM	justice
,	PUN	,
ou	KON	ou
encore	ADV	encore
comment	ADV	comment
ils	PRO:PER	il
entendent	VER:pres	entendre
réformer	VER:infi	réformer
le	DET:ART	le
secret	NOM	secret
de	PRP	de
l'	DET:ART	le
instruction	NOM	instruction
.	SENT	.
