avricourt	NOM	avricourt
:	PUN	:
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
loto	NOM	loto
des	PRP:det	du
jeunes	ADJ	jeune
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
salle	NOM	salle
socio-culturelle	ADJ	socio-culturelle
de	PRP	de
moussey	NOM	moussey
.	SENT	.
baccarat	NOM	baccarat
:	PUN	:
-	PUN	-
musée	NOM	musée
du	PRP:det	du
cristal	NOM	cristal
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
badonviller	NOM	badonviller
:	PUN	:
-	PUN	-
atelier	NOM	atelier
de	PRP	de
céramique	NOM	céramique
et	KON	et
verre	NOM	verre
(	PUN	(
ancienne	ADJ	ancien
maison	NOM	maison
de	PRP	de
la	DET:ART	le
faïence	NOM	faïence
),	ADJ	),
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
sauf	PRP	sauf
mardi	NOM	mardi
,	PUN	,
visites	NOM	visite
individuelles	ADJ	individuel
ou	KON	ou
en	PRP	en
groupe	NOM	groupe
en	PRP	en
matinée	NOM	matinée
sur	PRP	sur
réservation	NOM	réservation
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
42.19	NUM	@card@
.	SENT	.
57	NUM	@card@
bayon	NOM	bayon
:	PUN	:
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
thé	NOM	thé
dansant	VER:ppre	danser
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
blâmont	VER:futu	blâmont
:	PUN	:
-	PUN	-
château	NOM	château
de	PRP	de
blâmont	VER:futu	blâmont
,	PUN	,
ouvert	VER:pper	ouvrir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
visites	NOM	visite
guidées	VER:pper	guider
.	SENT	.
