répétant	VER:ppre	répéter
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
du	PRP:det	du
mois	NOM	moi|mois
d'	PRP	de
octobre	NOM	octobre
,	PUN	,
les	DET:ART	le
jeunes	NOM	jeune
qui	PRO:REL	qui
composent	VER:pres	composer
l'	DET:ART	le
atelier	NOM	atelier
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
mjc	NOM	mjc
du	PRP:det	du
centre	NOM	centre
vont	VER:pres	aller
prochainement	ADV	prochainement
se	PRO:PER	se
produire	VER:infi	produire
devant	PRP	devant
un	DET:ART	un
public	NOM	public
.	SENT	.
la	DET:ART	le
date	NOM	date
d'	PRP	de
entrée	NOM	entrée
en	PRP	en
scène	NOM	scène
est	VER:pres	être
prévue	VER:pper	prévoir
le	DET:ART	le
24	NUM	@card@
janvier	NOM	janvier
,	PUN	,
pour	PRP	pour
deux	NUM	deux
représentations	NOM	représentation
.	SENT	.
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
ses	DET:POS	son
quatre	NUM	quatre
journées	NOM	journée
consacrées	VER:pper	consacrer
aux	PRP:det	au
différentes	ADJ	différent
formes	NOM	forme
de	PRP	de
violence	NOM	violence
du	PRP:det	du
21	NUM	@card@
au	PRP:det	au
24	NUM	@card@
janvier	NOM	janvier
prochains	ADJ	prochain
(	PUN	(
voir	VER:infi	voir
notre	DET:POS	notre
édition	NOM	édition
du	PRP:det	du
8	NUM	@card@
janvier	NOM	janvier
),	ADJ	),
les	DET:ART	le
responsables	ADJ	responsable
de	PRP	de
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
jeunes	NOM	jeune
ont	VER:pres	avoir
eu	VER:pper	avoir
l'	DET:ART	le
idée	NOM	idée
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
scène	NOM	scène
la	DET:ART	le
violence	NOM	violence
.	SENT	.
sous	PRP	sous
les	DET:ART	le
conseils	NOM	conseil
avisés	VER:pper	aviser
d'	PRP	de
odile	ADJ	odile
sankara	NOM	sankara
,	PUN	,
comédienne	NOM	comédien
professionnelle	ADJ	professionnel
au	PRP:det	au
théâtre	NOM	théâtre
granit	NOM	granit
de	PRP	de
belfort	NOM	belfort
,	PUN	,
les	DET:ART	le
adolescents-comédiens	NOM	adolescents-comédiens
présenteront	VER:futu	présenter
trois	NUM	trois
saynètes	NOM	saynète
,	PUN	,
fruits	NOM	fruit
de	PRP	de
leurs	DET:POS	leur
improvisations	NOM	improvisation
.	SENT	.
tout	ADV	tout
d'	PRP	de
abord	NOM	abord
,	PUN	,
ils	PRO:PER	il
aborderont	VER:futu	aborder
les	DET:ART	le
violences	NOM	violence
urbaines	ADJ	urbain
puis	ADV	puis
conjugales	ADJ	conjugal
et	KON	et
enfin	ADV	enfin
familiales	ADJ	familial
.	SENT	.
ils	PRO:PER	il
débuteront	VER:futu	débuter
leur	DET:POS	leur
tournée	NOM	tournée
d'	PRP	de
un	DET:ART	un
jour	NOM	jour
par	PRP	par
le	DET:ART	le
lycée	NOM	lycée
louis-garnier	ADJ	louis-garnier
,	PUN	,
pour	PRP	pour
un	DET:ART	un
spectacle	NOM	spectacle
en	PRP	en
matinée	NOM	matinée
qui	PRO:REL	qui
sera	VER:futu	être
suivi	VER:pper	suivre
de	PRP	de
discussions	NOM	discussion
avec	PRP	avec
les	DET:ART	le
lycéens	NOM	lycéen
et	KON	et
leurs	DET:POS	leur
médiateurs	NOM	médiateur
.	SENT	.
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
ils	PRO:PER	il
seront	VER:futu	être
au	PRP:det	au
collège	NOM	collège
des	PRP:det	du
hautes-vignes	NOM	hautes-vignes
.	SENT	.
ils	PRO:PER	il
susciteront	VER:futu	susciter
alors	ADV	alors
un	DET:ART	un
débat	NOM	débat
sur	PRP	sur
la	DET:ART	le
représentation	NOM	représentation
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
la	DET:ART	le
question	NOM	question
qui	PRO:REL	qui
les	PRO:PER	la|le
préoccupe	VER:pres	préoccuper
.	SENT	.
d'	PRP	de
après	PRP	après
les	DET:ART	le
organisateurs	NOM	organisateur
,	PUN	,
les	DET:ART	le
jeunes	NOM	jeune
ont	VER:pres	avoir
accepté	VER:pper	accepter
spontanément	ADV	spontanément
de	PRP	de
relever	VER:infi	relever
le	DET:ART	le
défi	NOM	défi
.	SENT	.
un	DET:ART	un
peu	ADV	peu
timides	ADJ	timide
au	PRP:det	au
début	NOM	début
des	PRP:det	du
répétitions	NOM	répétition
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
sont	VER:pres	être
finalement	ADV	finalement
laissés	VER:pper	laisser
prendre	VER:infi	prendre
aux	PRP:det	au
règles	NOM	règle|règles
de	PRP	de
la	DET:ART	le
scène	NOM	scène
.	SENT	.
brûler	VER:infi	brûler
les	DET:ART	le
planches	NOM	planche
une	DET:ART	un
première	NUM	premier
fois	NOM	foi|fois
pour	PRP	pour
une	DET:ART	un
bonne	ADJ	bon
cause	NOM	cause
a	VER:pres	avoir
de	PRP	de
quoi	PRO	quoi
motiver	VER:infi	motiver
.	SENT	.
