répondant	VER:ppre	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
des	PRP:det	du
membres	NOM	membre
de	PRP	de
l'	DET:ART	le
union	NOM	union
familiale	ADJ	familial
de	PRP	de
viterne	NOM	viterne
,	PUN	,
plus	ADV	plus
de	PRP	de
90	NUM	@card@
personnes	NOM	personne
se	PRO:PER	se
sont	VER:pres	être
retrouvées	VER:pper	retrouver
,	PUN	,
dimanche	NOM	dimanche
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
familiale	ADJ	familial
,	PUN	,
pour	PRP	pour
le	DET:ART	le
tirage	NOM	tirage
des	PRP:det	du
rois	NOM	roi
avec	PRP	avec
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
.	SENT	.
l'	DET:ART	le
après-midi	NOM	après-midi
récréatif	ADJ	récréatif
était	VER:impf	être
agrémenté	VER:pper	agrémenter
d'	PRP	de
un	DET:ART	un
répertoire	NOM	répertoire
de	PRP	de
textes	NOM	texte
du	PRP:det	du
chanteur	NOM	chanteur
david	NOM	david
ban	NOM	ban
.	SENT	.
l'	DET:ART	le
ambiance	NOM	ambiance
était	VER:impf	être
des	PRP:det	du
plus	ADV	plus
agréables	ADJ	agréable
et	KON	et
à	PRP	à
chaque	PRO:IND	chaque
table	NOM	table
au	PRP:det	au
moment	NOM	moment
de	PRP	de
déguster	VER:infi	déguster
les	DET:ART	le
savoureuses	ADJ	savoureux
galettes	NOM	galette
,	PUN	,
le	DET:ART	le
hasard	NOM	hasard
a	VER:pres	avoir
désigné	VER:pper	désigner
les	DET:ART	le
rois	NOM	roi
et	KON	et
les	DET:ART	le
reines	NOM	reine
pour	PRP	pour
cette	PRO:DEM	ce
année	NOM	année
2003	NUM	@card@
le	DET:ART	le
sort	NOM	sort
devait	VER:impf	devoir
désigner	VER:infi	désigner
chez	PRP	chez
les	DET:ART	le
adultes	NOM	adulte
:	PUN	:
catherine	NOM	catherine
fernandes	ADJ	fernandes
et	KON	et
maurice	ADJ	maurice
boyat	NOM	boyat
et	KON	et
chez	PRP	chez
les	DET:ART	le
enfants	NOM	enfant
,	PUN	,
aurélie	NOM	aurélie
jamis	NOM	jamis
et	KON	et
guillaume	NOM	guillaume
boucher	ADJ	boucher
.	SENT	.
ces	PRO:DEM	ce
quatre	NUM	quatre
têtes	NOM	tête
couronnées	VER:pper	couronner
sont	VER:pres	être
reparties	VER:pper	repartir
chacune	PRO:IND	chacun
avec	PRP	avec
un	DET:ART	un
cadeau	NOM	cadeau
offert	VER:pper	offrir
par	PRP	par
l'	DET:ART	le
association	NOM	association
.	SENT	.
