profitant	VER:ppre	profiter
de	PRP	de
la	DET:ART	le
fête	NOM	fête
de	PRP	de
noël	NOM	noël
des	PRP:det	du
enfants	NOM	enfant
,	PUN	,
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
présenté	VER:pper	présenter
,	PUN	,
dimanche	NOM	dimanche
,	PUN	,
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
à	PRP	à
tous	PRO:IND	tout
ses	DET:POS	son
administrés	NOM	administré
,	PUN	,
avant	PRP	avant
d'	PRP	de
ajouter	VER:infi	ajouter
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
voudrais	VER:cond	vouloir
remercier	VER:infi	remercier
toute	PRO:IND	tout
l'	DET:ART	le
équipe	NOM	équipe
municipale	ADJ	municipal
pour	PRP	pour
sa	DET:POS	son
participation	NOM	participation
et	KON	et
son	DET:POS	son
soutien	NOM	soutien
éclairé	VER:pper	éclairer
pour	PRP	pour
mener	VER:infi	mener
à	PRP	à
bien	ADV	bien
notre	DET:POS	notre
commune	NOM	commune
.	SENT	.
au	PRP:det	au
cours	NOM	cour|cours
des	PRP:det	du
cinq	NUM	cinq
mandats	NOM	mandat
passés	VER:pper	passer
que	KON	que
j'	PRO:PER	je
ai	VER:pres	avoir
effectués	VER:pper	effectuer
et	KON	et
du	PRP:det	du
sixième	NOM	sixième
actuel	ADJ	actuel
,	PUN	,
chaque	PRO:IND	chaque
membre	NOM	membre
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
m'	PRO:PER	me
a	VER:pres	avoir
apporté	VER:pper	apporter
quelque	PRO:IND	quelque
chose	NOM	chose
et	KON	et
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
faire	VER:infi	faire
évoluer	VER:infi	évoluer
notre	DET:POS	notre
village	NOM	village
.	SENT	.
«	PUN:cit	«
je	PRO:PER	je
voudrais	VER:cond	vouloir
rappeler	VER:infi	rappeler
quelques	PRO:IND	quelque
projets	NOM	projet
importants	ADJ	important
réalisés	VER:pper	réaliser
ces	PRO:DEM	ce
derniers	ADJ	dernier
années	NOM	année
comme	KON	comme
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
la	DET:ART	le
place	NOM	place
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
quelques	PRO:IND	quelque
rues	NOM	rue
,	PUN	,
le	DET:ART	le
parking	NOM	parking
,	PUN	,
l'	DET:ART	le
aire	NOM	aire
de	PRP	de
jeux	NOM	jeu
et	KON	et
de	PRP	de
loisirs	NOM	loisir
(	PUN	(
qui	PRO:REL	qui
reste	VER:pres	rester
à	PRP	à
finir	VER:infi	finir
)	PUN	)
et	KON	et
le	DET:ART	le
lotissement	NOM	lotissement
communal	ADJ	communal
de	PRP	de
la	DET:ART	le
borde	NOM	borde
qui	PRO:REL	qui
a	VER:pres	avoir
eu	VER:pper	avoir
enfin	ADV	enfin
son	DET:POS	son
autorisation	NOM	autorisation
préfectorale	ADJ	préfectoral
.	SENT	.
les	DET:ART	le
quatre	NUM	quatre
parcelles	NOM	parcelle
vont	VER:pres	aller
pouvoir	VER:infi	pouvoir
être	VER:infi	être
vendues	VER:pper	vendre
aux	PRP:det	au
amateurs	NOM	amateur
qui	PRO:REL	qui
avaient	VER:impf	avoir
signé	VER:pper	signer
des	PRP:det	du
compromis	NOM	compromis
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
reste	VER:pres	rester
des	PRP:det	du
projets	NOM	projet
à	PRP	à
réaliser	VER:infi	réaliser
que	KON	que
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
redéfinira	VER:futu	redéfinir
en	PRP	en
fonction	NOM	fonction
des	PRP:det	du
finances	NOM	finance
qui	PRO:REL	qui
seront	VER:futu	être
nettement	ADV	nettement
améliorées	VER:pper	améliorer
après	PRP	après
la	DET:ART	le
vente	NOM	vente
des	PRP:det	du
terrains	NOM	terrain
».	VER:cond	».
puis	ADV	puis
il	PRO:PER	il
analysa	VER:simp	analyser
la	DET:ART	le
composition	NOM	composition
de	PRP	de
la	DET:ART	le
population	NOM	population
du	PRP:det	du
village	NOM	village
:	PUN	:
190	NUM	@card@
habitants	NOM	habitant
(	PUN	(
162	NUM	@card@
en	PRP	en
1962	NUM	@card@
),	NOM	),
avec	PRP	avec
28	NUM	@card@
personnes	NOM	personne
de	PRP	de
plus	ADV	plus
de	PRP	de
65	NUM	@card@
ans	NOM	an
,	PUN	,
34	NUM	@card@
enfants	NOM	enfant
de	PRP	de
moins	ADV	moins
de	PRP	de
14	NUM	@card@
ans	NOM	an
,	PUN	,
la	DET:ART	le
population	NOM	population
est	VER:pres	être
donc	ADV	donc
relativement	ADV	relativement
jeune	ADJ	jeune
.	SENT	.
