revigny-sur-ornain	NOM	revigny-sur-ornain
.	SENT	.
-	PUN	-
l'	DET:ART	le
équipe	NOM	équipe
(	PUN	(
1	NUM	@card@
)	PUN	)
accueille	VER:pres	accueillir
etain	ADJ	etain
,	PUN	,
samedi	NOM	samedi
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
léo-lagrange	NOM	léo-lagrange
;	PUN	;
l'	DET:ART	le
équipe	NOM	équipe
(	PUN	(
2	NUM	@card@
)	PUN	)
est	VER:pres	être
exempte	ADJ	exempt
;	PUN	;
les	DET:ART	le
féminines	ADJ	féminin
vont	VER:pres	aller
à	PRP	à
ptt	ADJ	ptt
nancy	NOM	nancy
(	PUN	(
3	NUM	@card@
)	PUN	)
;	PUN	;
les	DET:ART	le
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
reçoivent	VER:pres	recevoir
ptt	ADJ	ptt
nancy	NOM	nancy
(	PUN	(
1	NUM	@card@
)	PUN	)
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
les	DET:ART	le
garçons	NOM	garçon
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
vont	VER:pres	aller
à	PRP	à
neuves-maisons	NOM	neuves-maisons
;	PUN	;
les	DET:ART	le
moins	ADV	moins
de	PRP	de
14	NUM	@card@
ans	NOM	an
vont	VER:pres	aller
à	PRP	à
montmédy	NOM	montmédy
;	PUN	;
les	DET:ART	le
filles	NOM	fille
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
reçoivent	VER:pres	recevoir
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
les	DET:ART	le
moins	ADV	moins
de	PRP	de
14	NUM	@card@
ans	NOM	an
reçoivent	VER:pres	recevoir
etain	ADJ	etain
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
moins	ADV	moins
de	PRP	de
12	NUM	@card@
ans	NOM	an
reçoivent	VER:pres	recevoir
euville	NOM	euville
.	SENT	.
