on	PRO:PER	on
a	VER:pres	avoir
toujours	ADV	toujours
attribué	VER:pper	attribuer
aux	PRP:det	au
fleurs	NOM	fleur
des	PRP:det	du
significations	NOM	signification
particulières	ADJ	particulier
.	SENT	.
en	PRP	en
voici	ADV	voici
les	DET:ART	le
plus	ADV	plus
connues	VER:pper	connaître
.	SENT	.
achillée	NOM	achillée
:	PUN	:
guérison	NOM	guérison
,	PUN	,
guerre	NOM	guerre
,	PUN	,
mérite	VER:pres	mériter
caché	VER:pper	cacher
.	SENT	.
amarante	ADJ	amarante
:	PUN	:
indifférence	NOM	indifférence
.	SENT	.
anémone	NOM	anémone
:	PUN	:
abandon	NOM	abandon
,	PUN	,
amour	NOM	amour
trahi	VER:pper	trahir
.	SENT	.
aster	NOM	aster
:	PUN	:
doute	NOM	doute
,	PUN	,
méfiance	NOM	méfiance
.	SENT	.
bleuet	NOM	bleuet
:	PUN	:
délicatesse	NOM	délicatesse
.	SENT	.
bouquet	NOM	bouquet
panaché	VER:pper	panacher
:	PUN	:
galanterie	NOM	galanterie
.	SENT	.
campanule	NOM	campanule
:	PUN	:
propositions	NOM	proposition
galantes	ADJ	galant
mais	KON	mais
futiles	ADJ	futile
.	SENT	.
chardon	NOM	chardon
:	PUN	:
austérité	NOM	austérité
.	SENT	.
chrysanthème	NOM	chrysanthème
:	PUN	:
amour	NOM	amour
sous	PRP	sous
tous	PRO:IND	tout
ses	DET:POS	son
aspects	NOM	aspect
.	SENT	.
dahlia	NOM	dahlia
:	PUN	:
reconnaissance	NOM	reconnaissance
,	PUN	,
présage	NOM	présage
,	PUN	,
faux	ADJ	faux
espoirs	NOM	espoir
.	SENT	.
gueule	NOM	gueule
de	PRP	de
loup	NOM	loup
:	PUN	:
caprice	NOM	caprice
.	SENT	.
guirlande	NOM	guirlande
:	PUN	:
chaîne	NOM	chaîne
d'	PRP	de
amour	NOM	amour
.	SENT	.
hortensia	NOM	hortensia
:	PUN	:
froideur	NOM	froideur
,	PUN	,
séparation	NOM	séparation
.	SENT	.
jacinthe	NOM	jacinthe
:	PUN	:
bienveillance	NOM	bienveillance
,	PUN	,
grâce	NOM	grâce
,	PUN	,
douceur	NOM	douceur
.	SENT	.
jonquille	ADJ	jonquille
:	PUN	:
désir	NOM	désir
.	SENT	.
lis	NOM	li|lis
:	PUN	:
majesté	NOM	majesté
,	PUN	,
pureté	NOM	pureté
.	SENT	.
mimosa	NOM	mimosa
:	PUN	:
souvenir	NOM	souvenir
.	SENT	.
narcisse	NOM	narcisse
:	PUN	:
amour	NOM	amour
,	PUN	,
égoïsme	NOM	égoïsme
,	PUN	,
considération	NOM	considération
.	SENT	.
nigelle	NOM	nigelle
:	PUN	:
lien	NOM	lien
d'	PRP	de
amour	NOM	amour
.	SENT	.
oeillet	NOM	œillet
:	PUN	:
affection	NOM	affection
sincère	ADJ	sincère
.	SENT	.
oeillet	NOM	œillet
blanc	ADJ	blanc
:	PUN	:
fidélité	NOM	fidélité
,	PUN	,
loyauté	NOM	loyauté
.	SENT	.
oeillet	NOM	œillet
jaune	ADJ	jaune
:	PUN	:
dédain	NOM	dédain
.	SENT	.
oeillet	NOM	œillet
rose	ADJ	rose
:	PUN	:
amour	NOM	amour
ardent	ADJ	ardent
et	KON	et
sincère	ADJ	sincère
.	SENT	.
orchidée	NOM	orchidée
:	PUN	:
habileté	NOM	habileté
.	SENT	.
pavot	NOM	pavot
:	PUN	:
lenteur	NOM	lenteur
,	PUN	,
doute	NOM	doute
,	PUN	,
oubli	NOM	oubli
,	PUN	,
surprise	VER:pper	surprendre
.	SENT	.
pavot	NOM	pavot
rouge	ADJ	rouge
:	PUN	:
orgueil	NOM	orgueil
,	PUN	,
beauté	NOM	beauté
éphémère	ADJ	éphémère
.	SENT	.
pivoine	NOM	pivoine
:	PUN	:
timidité	NOM	timidité
,	PUN	,
confusion	NOM	confusion
.	SENT	.
rose	NOM	rose
blanche	ADJ	blanc
:	PUN	:
silence	NOM	silence
.	SENT	.
rose	ADJ	rose
jaune	NOM	jaune
:	PUN	:
infidélité	NOM	infidélité
,	PUN	,
honte	NOM	honte
.	SENT	.
rose	NOM	rose
orangée	ADJ	orangé
:	PUN	:
tendresse	NOM	tendresse
.	SENT	.
rose	ADJ	rose
rose	NOM	rose
:	PUN	:
franchise	NOM	franchise
,	PUN	,
tendresse	NOM	tendresse
.	SENT	.
rose	NOM	rose
rouge	ADJ	rouge
:	PUN	:
passion	NOM	passion
.	SENT	.
tournesol	NOM	tournesol
:	PUN	:
fausse	ADJ	faux
richesse	NOM	richesse
.	SENT	.
tulipe	NOM	tulipe
:	PUN	:
honnêteté	NOM	honnêteté
,	PUN	,
message	NOM	message
d'	PRP	de
amour	NOM	amour
,	PUN	,
magnificence	NOM	magnificence
.	SENT	.
véronique	NOM	véronique
:	PUN	:
fidélité	NOM	fidélité
.	SENT	.
