réunis	VER:pper	réunir
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
à	PRP	à
l'	DET:ART	le
initiative	NOM	initiative
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
acteurs	NOM	acteur
socio-économiques	ADJ	socio-économique
,	PUN	,
les	DET:ART	le
responsables	ADJ	responsable
d'	PRP	de
associations	NOM	association
,	PUN	,
les	DET:ART	le
maires	NOM	maire
du	PRP:det	du
sivom	NOM	sivom
de	PRP	de
boussières	NOM	boussières
ont	VER:pres	avoir
écouté	VER:pper	écouter
avec	PRP	avec
intérêt	NOM	intérêt
les	DET:ART	le
propos	NOM	propos
de	PRP	de
michel	NOM	michel
poulet	NOM	poulet
,	PUN	,
maire	NOM	maire
de	PRP	de
boussières	NOM	boussières
,	PUN	,
qui	PRO:REL	qui
,	PUN	,
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
a	VER:pres	avoir
présenté	VER:pper	présenter
les	DET:ART	le
projets	NOM	projet
de	PRP	de
son	DET:POS	son
équipe	NOM	équipe
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
à	PRP	à
venir	VER:infi	venir
.	SENT	.
l'	DET:ART	le
école	NOM	école
élémentaire	ADJ	élémentaire
dont	PRO:REL	dont
les	DET:ART	le
accès	NOM	accès
ont	VER:pres	avoir
été	VER:pper	être
entièrement	ADV	entièrement
restructurés	VER:pper	restructurer
cette	PRO:DEM	ce
année	NOM	année
et	KON	et
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
dotée	VER:pper	doter
d'	PRP	de
un	DET:ART	un
nouveau	ADJ	nouveau
préau	NOM	préau
verra	VER:futu	voir
,	PUN	,
dès	PRP	dès
septembre	NOM	septembre
,	PUN	,
la	DET:ART	le
création	NOM	création
d'	PRP	de
une	DET:ART	un
salle	NOM	salle
multi-média	ADJ	multi-média
qui	PRO:REL	qui
,	PUN	,
avec	PRP	avec
ses	DET:POS	son
douze	NUM	douze
postes	NOM	poste|postes
,	PUN	,
pourra	VER:futu	pouvoir
accueillir	VER:infi	accueillir
une	DET:ART	un
classe	NOM	classe
entière	ADJ	entier
.	SENT	.
elle	PRO:PER	elle
sera	VER:futu	être
par	PRP	par
ailleurs	ADV	ailleurs
ouverte	VER:pper	ouvrir
à	PRP	à
d'	DET:ART	de
autres	ADJ	autre
publics	ADJ	public
grâce	NOM	grâce
à	PRP	à
un	DET:ART	un
accès	NOM	accès
indépendant	ADJ	indépendant
de	PRP	de
l'	DET:ART	le
école	NOM	école
et	KON	et
nécessitera	VER:futu	nécessiter
vraisemblablement	ADV	vraisemblablement
la	DET:ART	le
création	NOM	création
d'	PRP	de
un	DET:ART	un
poste	NOM	poste
animateur	ADJ	animateur
à	PRP	à
plein	ADJ	plein
temps	NOM	temps
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
pourrait	VER:cond	pouvoir
se	PRO:PER	se
faire	VER:infi	faire
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
participation	NOM	participation
des	PRP:det	du
communes	NOM	commune
du	PRP:det	du
sivom	NOM	sivom
.	SENT	.
dès	PRP	dès
la	DET:ART	le
rentrée	NOM	rentrée
de	PRP	de
septembre	NOM	septembre
,	PUN	,
à	PRP	à
titre	NOM	titre
expérimental	ADJ	expérimental
,	PUN	,
une	DET:ART	un
cantine	NOM	cantine
doublée	VER:pper	doubler
d'	PRP	de
une	DET:ART	un
garderie	NOM	garderie
seront	VER:futu	être
installées	VER:pper	installer
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
si	KON	si
cette	PRO:DEM	ce
initiative	NOM	initiative
remporte	VER:pres	remporter
l'	DET:ART	le
adhésion	NOM	adhésion
du	PRP:det	du
plus	ADV	plus
grand	ADJ	grand
nombre	NOM	nombre
,	PUN	,
un	DET:ART	un
local	ADJ	local
communal	NOM	communal
spécifique	ADJ	spécifique
serait	VER:cond	être
alors	ADV	alors
aménagé	VER:pper	aménager
en	PRP	en
septembre	NOM	septembre
2004	NUM	@card@
les	DET:ART	le
locaux	NOM	local
de	PRP	de
l'	DET:ART	le
école	NOM	école
maternelle	ADJ	maternel
,	PUN	,
quant	PRP	quant
à	PRP	à
eux	PRO:PER	eux
,	PUN	,
seront	VER:futu	être
complétés	VER:pper	compléter
par	PRP	par
la	DET:ART	le
construction	NOM	construction
d'	PRP	de
un	DET:ART	un
préau	NOM	préau
et	KON	et
la	DET:ART	le
création	NOM	création
d'	PRP	de
un	DET:ART	un
nouvel	ADJ	nouveau
accès	NOM	accès
par	PRP	par
le	DET:ART	le
jardin	NOM	jardin
de	PRP	de
la	DET:ART	le
cure	NOM	cure
qui	PRO:REL	qui
sera	VER:futu	être
aménagé	VER:pper	aménager
en	PRP	en
aire	NOM	aire
de	PRP	de
jeux	NOM	jeu
.	SENT	.
achevant	VER:ppre	achever
l'	DET:ART	le
aménagement	NOM	aménagement
du	PRP:det	du
quartier	NOM	quartier
résidentiel	ADJ	résidentiel
du	PRP:det	du
«	PUN:cit	«
bosquet	NOM	bosquet
»,	ADJ	»,
un	DET:ART	un
nouveau	ADJ	nouveau
lotissement	NOM	lotissement
de	PRP	de
six	NUM	six
parcelles	NOM	parcelle
verra	VER:futu	voir
le	DET:ART	le
jour	NOM	jour
au	PRP:det	au
bois	NOM	bois
de	PRP	de
jeune	ADJ	jeune
et	KON	et
de	PRP	de
chaux	NOM	chaux
.	SENT	.
enfin	ADV	enfin
,	PUN	,
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
fait	VER:pper	faire
part	NOM	part
d'	PRP	de
un	DET:ART	un
grand	ADJ	grand
projet	NOM	projet
qui	PRO:REL	qui
concernerait	VER:cond	concerner
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
douze	NUM	douze
communes	NOM	commune
du	PRP:det	du
pôle	NOM	pôle
sud-ouest	ADJ	sud-ouest
de	PRP	de
la	DET:ART	le
cagb	NOM	cagb
et	KON	et
qui	PRO:REL	qui
consisterait	VER:cond	consister
en	PRP	en
la	DET:ART	le
création	NOM	création
d'	PRP	de
une	DET:ART	un
«	PUN:cit	«
maison	NOM	maison
des	PRP:det	du
temps	NOM	temps
et	KON	et
de	PRP	de
la	DET:ART	le
culture	NOM	culture
»	PUN:cit	»
si	KON	si
,	PUN	,
pour	PRP	pour
l'	DET:ART	le
instant	NOM	instant
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
s'	PRO:PER	se
agit	VER:pres	agir
encore	ADV	encore
que	KON	que
d'	PRP	de
une	DET:ART	un
ébauche	NOM	ébauche
,	PUN	,
il	PRO:PER	il
paraît	VER:pres	paraître
prioritaire	ADJ	prioritaire
de	PRP	de
favoriser	VER:infi	favoriser
le	DET:ART	le
dialogue	NOM	dialogue
et	KON	et
la	DET:ART	le
concertation	NOM	concertation
avec	PRP	avec
toutes	PRO:IND	tout
les	DET:ART	le
communes	NOM	commune
concernées	VER:pper	concerner
afin	KON	afin
de	PRP	de
bien	ADV	bien
cibler	VER:infi	cibler
les	DET:ART	le
besoins	NOM	besoin
et	KON	et
les	DET:ART	le
attentes	NOM	attente
dans	PRP	dans
ce	PRO:DEM	ce
domaine	NOM	domaine
si	ADV	si
particulier	ADJ	particulier
de	PRP	de
la	DET:ART	le
culture	NOM	culture
,	PUN	,
trop	ADV	trop
souvent	ADV	souvent
reléguée	VER:pper	reléguer
au	PRP:det	au
second	NUM	second
plan	NOM	plan
dans	PRP	dans
les	DET:ART	le
zones	NOM	zone
péri-urbaines	ADJ	péri-urbain
.	SENT	.
