quatre-vingt-dix	NUM	quatre-vingt-dix
rois	NOM	roi
et	KON	et
reines	NOM	reine
,	PUN	,
ça	PRO:DEM	cela
compte	VER:pres	compter
dans	PRP	dans
une	DET:ART	un
famille	NOM	famille
de	PRP	de
souverains	NOM	souverain
et	KON	et
,	PUN	,
vu	VER:pper	voir
le	DET:ART	le
nombre	NOM	nombre
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
difficile	ADJ	difficile
pour	PRP	pour
eux	PRO:PER	eux
de	PRP	de
diviser	VER:infi	diviser
pour	PRP	pour
régner	VER:infi	régner
.	SENT	.
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
d'	PRP	de
éveil	NOM	éveil
de	PRP	de
l'	DET:ART	le
école	NOM	école
maternelle	ADJ	maternel
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
enfants	NOM	enfant
compris	VER:pper	comprendre
dans	PRP	dans
son	DET:POS	son
effectif	NOM	effectif
sont	VER:pres	être
venus	VER:pper	venir
déguster	VER:infi	déguster
la	DET:ART	le
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
,	PUN	,
accompagnée	VER:pper	accompagner
d'	PRP	de
un	DET:ART	un
jus	NOM	jus
de	PRP	de
fruit	NOM	fruit
.	SENT	.
une	DET:ART	un
dégustation	NOM	dégustation
offerte	ADJ	offert
,	PUN	,
comme	KON	comme
tous	PRO:IND	tout
les	DET:ART	le
ans	NOM	an
,	PUN	,
par	PRP	par
la	DET:ART	le
coopérative	NOM	coopérative
scolaire	ADJ	scolaire
de	PRP	de
l'	DET:ART	le
école	NOM	école
.	SENT	.
