arraye-et-han	NOM	arraye-et-han
:	PUN	:
-	PUN	-
soirée	NOM	soirée
jeux	NOM	jeu
samedi	NOM	samedi
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
buvette	NOM	buvette
et	KON	et
pâtisseries	NOM	pâtisserie
.	SENT	.
bayonville-sur-mad	NOM	bayonville-sur-mad
:	PUN	:
-	PUN	-
première	NUM	premier
rétrospective	NOM	rétrospectif|rétrospective
française	ADJ	français
de	PRP	de
l'	ADJ	l'
uvre	NOM	uvre
du	PRP:det	du
peintre	NOM	peintre
claude	NOM	claude
venard	ADJ	venard
(	PUN	(
1913	NUM	@card@
-	PUN	-
1999	NUM	@card@
)	PUN	)
«	PUN:cit	«
du	PRP:det	du
misérabilisme	NOM	misérabilisme
vers	PRP	vers
une	DET:ART	un
figuration	NOM	figuration
abstraite	ADJ	abstrait
poétique	ADJ	poétique
»,	NOM	»,
au	PRP:det	au
manoir	NOM	manoir
du	PRP:det	du
mad	NOM	mad
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
ou	KON	ou
sur	PRP	sur
rendez-vous	NOM	rendez-vous
(	PUN	(
03.83	NUM	@card@
.	SENT	.
81.80	NUM	@card@
.	SENT	.
42	NUM	@card@
).	ABR	).
blenod-les-pont-a-mousson	NOM	blenod-les-pont-a-mousson
:	PUN	:
-	PUN	-
«	PUN:cit	«
les	DET:ART	le
chroniques	NOM	chronique
du	PRP:det	du
pire	ADJ	pire
»,	NOM	»,
spectacle	NOM	spectacle
tout	ADV	tout
public	ADJ	public
présenté	VER:pper	présenter
par	PRP	par
la	DET:ART	le
cie	NOM	cie
d'	PRP	de
urgence	NOM	urgence
de	PRP	de
nancy	NOM	nancy
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
21	NUM	@card@
h	ABR	heure
au	PRP:det	au
centre	NOM	centre
culturel	ADJ	culturel
pablo-picasso	NOM	pablo-picasso
.	SENT	.
-	PUN	-
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
théâtre	NOM	théâtre
«	PUN:cit	«
hisse-et-haut	NAM	hisse-et-haut
»	PUN:cit	»
se	PRO:PER	se
produira	VER:futu	produire
sur	PRP	sur
scène	NOM	scène
au	PRP:det	au
centre	NOM	centre
culturel	ADJ	culturel
pablo-picasso	ADJ	pablo-picasso
dimanche	NOM	dimanche
à	PRP	à
14	NUM	@card@
h	ABR	heure
avec	PRP	avec
sept	NUM	sept
saynètes	NOM	saynète
de	PRP	de
5	NUM	@card@
à	PRP	à
15	NUM	@card@
minutes	NOM	minute
.	SENT	.
dieulouard	NOM	dieulouard
:	PUN	:
-	PUN	-
soirée	NOM	soirée
loto	NOM	loto
de	PRP	de
la	DET:ART	le
clcv	NOM	clcv
,	PUN	,
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
-	PUN	-
circuit	NOM	circuit
«	PUN:cit	«
le	DET:ART	le
chemin	NOM	chemin
du	PRP:det	du
sel	NOM	sel
de	PRP	de
marsal	NOM	marsal
»	PUN:cit	»
avec	PRP	avec
le	DET:ART	le
club	NOM	club
rando	ADJ	rando
des	PRP:det	du
vals	NOM	val
de	PRP	de
moselle	ADJ	moselle
et	KON	et
de	PRP	de
l'	DET:ART	le
esch	NOM	esch
,	PUN	,
repas	NOM	repas
tiré	VER:pper	tirer
du	PRP:det	du
sac	NOM	sac
à	PRP	à
l'	DET:ART	le
abri	NOM	abri
.	SENT	.
rendez-vous	NOM	rendez-vous
dimanche	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
l'	DET:ART	le
église	NOM	église
d'	PRP	de
haraucourt-sur-seille	NOM	haraucourt-sur-seille
.	SENT	.
eply	NOM	eply
:	PUN	:
-	PUN	-
repas	NOM	repas
d'	PRP	de
antan	NOM	antan
à	PRP	à
la	DET:ART	le
ferme-auberge	NOM	ferme-auberge
des	PRP:det	du
verts	ADJ	vert
pâturages	NOM	pâturage
,	PUN	,
chez	PRP	chez
edith	NOM	edith
,	PUN	,
audrey	NOM	audrey
et	KON	et
jean-marie	NOM	jean-marie
françois	ADJ	françois
,	PUN	,
dimanche	NOM	dimanche
à	PRP	à
midi	NOM	midi
.	SENT	.
au	PRP:det	au
menu	NOM	menu
:	PUN	:
poitrine	NOM	poitrine
de	PRP	de
veau	NOM	veau
farcie	ADJ	farci
.	SENT	.
réservation	NOM	réservation
indispensable	ADJ	indispensable
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
31.30	NUM	@card@
.	SENT	.
85	NUM	@card@
essey-et-maizerais	NOM	essey-et-maizerais
:	PUN	:
-	PUN	-
soirée	NOM	soirée
jeux	NOM	jeu
de	PRP	de
société	NOM	société
et	KON	et
crêpes	NOM	crêpe
,	PUN	,
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
entrée	NOM	entrée
gratuite	ADJ	gratuit
,	PUN	,
crêpes	NOM	crêpe
et	KON	et
boissons	NOM	boisson
payantes	ADJ	payant
.	SENT	.
jaulny	NOM	jaulny
:	PUN	:
-	PUN	-
visite	NOM	visite
du	PRP:det	du
château	NOM	château
fort	ADJ	fort
pour	PRP	pour
les	DET:ART	le
groupes	NOM	groupe
uniquement	ADV	uniquement
,	PUN	,
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
sur	PRP	sur
rendez-vous	NOM	rendez-vous
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
81.93	NUM	@card@
.	SENT	.
04	NUM	@card@
jeandelaincourt	NOM	jeandelaincourt
:	PUN	:
-	PUN	-
loto	NOM	loto
de	PRP	de
l'	DET:ART	le
acca	NOM	acca
samedi	NOM	samedi
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
ouverture	NOM	ouverture
des	PRP:det	du
portes	NOM	porte
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
carton	NOM	carton
2	NUM	@card@
,	NOM	,
les	DET:ART	le
six	NUM	six
8	NUM	@card@
,	NOM	,
