israël	NAM	Israël
a	VER:pres	avoir
confirmé	VER:pper	confirmer
hier	ADV	hier
le	DET:ART	le
rétablissement	NOM	rétablissement
de	PRP	de
contacts	NOM	contact
au	PRP:det	au
plus	ADV	plus
haut	ADJ	haut
niveau	NOM	niveau
avec	PRP	avec
les	DET:ART	le
palestiniens	NOM	palestinien
,	PUN	,
visant	VER:ppre	viser
en	PRP	en
premier	NUM	premier
lieu	NOM	lieu
à	PRP	à
parvenir	VER:infi	parvenir
à	PRP	à
une	DET:ART	un
accalmie	NOM	accalmie
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
effectivement	ADV	effectivement
des	PRP:det	du
rencontres	NOM	rencontre
avec	PRP	avec
de	PRP	de
hauts	NOM	haut
responsables	ADJ	responsable
palestiniens	ADJ	palestinien
avant	PRP	avant
et	KON	et
après	PRP	après
les	DET:ART	le
élections	NOM	élection
(	PUN	(
législatives	NOM	législatif
israéliennes	ADJ	israélien
du	PRP:det	du
28	NUM	@card@
janvier	NOM	janvier
)	PUN	)
visant	VER:ppre	viser
à	PRP	à
convaincre	VER:infi	convaincre
les	DET:ART	le
palestiniens	NOM	palestinien
de	PRP	de
mettre	VER:infi	mettre
fin	NOM	fin
aux	PRP:det	au
violences	NOM	violence
»,	ADJ	»,
a	VER:pres	avoir
déclaré	VER:pper	déclarer
le	DET:ART	le
chef	NOM	chef
de	PRP	de
cabinet	NOM	cabinet
du	PRP:det	du
premier	NUM	premier
ministre	NOM	ministre
ariel	ADJ	ariel
sharon	NOM	sharon
.	SENT	.
la	DET:ART	le
télévision	NOM	télévision
israélienne	ADJ	israélien
avait	VER:impf	avoir
révélé	VER:pper	révéler
vendredi	NOM	vendredi
soir	NOM	soir
que	KON	que
m.	VER:simp	m.
sharon	NOM	sharon
avait	VER:impf	avoir
rencontré	VER:pper	rencontrer
mahmoud	NOM	mahmoud
abbas	NOM	abbas
(	PUN	(
abou	NOM	abou
mazen	ADJ	mazen
),	ADJ	),
numéro	NOM	numéro
deux	NUM	deux
de	PRP	de
l'	DET:ART	le
organisation	NOM	organisation
de	PRP	de
libération	NOM	libération
de	PRP	de
la	DET:ART	le
palestine	NOM	palestine
(	PUN	(
olp	NOM	olp
),	NOM	),
puis	ADV	puis
ahmed	ADJ	ahmed
qoreï	NOM	qoreï
(	PUN	(
abou	NOM	abou
ala	ADJ	ala
),	ADJ	),
le	DET:ART	le
président	NOM	président
du	PRP:det	du
conseil	NOM	conseil
législatif	ADJ	législatif
(	PUN	(
parlement	NOM	parlement
)	PUN	)
palestinien	ADJ	palestinien
.	SENT	.
le	DET:ART	le
président	NOM	président
de	PRP	de
l'	DET:ART	le
autorité	NOM	autorité
palestinienne	ADJ	palestinien
yasser	NOM	yasser
arafat	ADJ	arafat
s'	PRO:PER	se
est	VER:pres	être
félicité	VER:pper	féliciter
de	PRP	de
ces	PRO:DEM	ce
contacts	NOM	contact
.	SENT	.
etape	NOM	etape
importante	ADJ	important
vers	PRP	vers
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
du	PRP:det	du
premier	NUM	premier
tribunal	NOM	tribunal
permanent	ADJ	permanent
des	PRP:det	du
crimes	NOM	crime
de	PRP	de
guerre	NOM	guerre
:	PUN	:
après	PRP	après
quatre	NUM	quatre
jours	NOM	jour
de	PRP	de
vote	NOM	vote
