faisant	VER:ppre	faire
partie	NOM	partie
du	PRP:det	du
système	NOM	système
de	PRP	de
surveillance	NOM	surveillance
de	PRP	de
l'	DET:ART	le
agglomération	NOM	agglomération
belfortaine	ADJ	belfortaine
de	PRP	de
la	DET:ART	le
police	NOM	police
,	PUN	,
une	DET:ART	un
patrouille	NOM	patrouille
de	PRP	de
la	DET:ART	le
brigade	NOM	brigade
canine	ADJ	canin
a	VER:pres	avoir
interpellé	VER:pper	interpeller
,	PUN	,
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
mardi	NOM	mardi
à	PRP	à
mercredi	NOM	mercredi
faubourg	NOM	faubourg
de	PRP	de
france	NOM	france
,	PUN	,
un	NOM	un
sans	PRP	sans
domicile	NOM	domicile
fixe	ADJ	fixe
de	PRP	de
27	NUM	@card@
ans	NOM	an
natif	ADJ	natif
du	PRP:det	du
pas-de-calais	NOM	pas-de-calais
.	SENT	.
il	PRO:PER	il
venait	VER:impf	venir
de	PRP	de
briser	VER:infi	briser
une	DET:ART	un
vitre	NOM	vitre
de	PRP	de
la	DET:ART	le
coordonnerie	NOM	coordonnerie
parisienne	ADJ	parisien
avec	PRP	avec
une	NUM	un
de	PRP	de
ses	DET:POS	son
béquilles	NOM	béquille
parce	KON	parce
qu'	PRO:REL	que
il	PRO:PER	il
avait	VER:impf	avoir
besoin	NOM	besoin
de	PRP	de
chaussures	NOM	chaussure
.	SENT	.
lors	ADV	lors
de	PRP	de
son	DET:POS	son
interpellation	NOM	interpellation
,	PUN	,
le	DET:ART	le
suspect	NOM	suspect
a	VER:pres	avoir
été	VER:pper	être
retrouvé	VER:pper	retrouver
en	PRP	en
possession	NOM	possession
des	PRP:det	du
chaussures	NOM	chaussure
.	SENT	.
de	PRP	de
plus	ADV	plus
,	PUN	,
une	DET:ART	un
partie	NOM	partie
de	PRP	de
sa	DET:POS	son
béquille	NOM	béquille
était	VER:impf	être
coincée	VER:pper	coincer
dans	PRP	dans
la	DET:ART	le
vitrine	NOM	vitrine
de	PRP	de
l'	DET:ART	le
enseigne	NOM	enseigne
.	SENT	.
