pontarlier	NOM	pontarlier
:	PUN	:
cinéma	NOM	cinéma
«	PUN:cit	«
les	DET:ART	le
années	NOM	année
jésus	NOM	jésus
»,	ADJ	»,
d'	PRP	de
après	PRP	après
le	DET:ART	le
spectacle	NOM	spectacle
de	PRP	de
la	DET:ART	le
scène	NOM	scène
départementale	ADJ	départemental
du	PRP:det	du
doubs	NOM	doubs
,	PUN	,
présenté	VER:pper	présenter
au	PRP:det	au
château	NOM	château
de	PRP	de
joux	NOM	joux
en	PRP	en
août	NOM	août
2000	NUM	@card@
mise	NOM	mise
en	PRP	en
scène	NOM	scène
de	PRP	de
pierre	NOM	pierre
louis	NOM	louis
.	SENT	.
a	VER:pres	avoir
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
théâtre	NOM	théâtre
bernard-blier	NOM	bernard-blier
.	SENT	.
entrée	NOM	entrée
gratuite	ADJ	gratuit
.	SENT	.
bonnevaux	NOM	bonnevaux
:	PUN	:
visite	NOM	visite
de	PRP	de
la	DET:ART	le
ferme	ADJ	ferme
patrimoine	NOM	patrimoine
«	PUN:cit	«
la	DET:ART	le
pastorale	NOM	pastorale
»	PUN:cit	»
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
chapelle-des-bois	NOM	chapelle-des-bois
:	PUN	:
écomusée	NOM	écomusée
maison	NOM	maison
michaud	ADJ	michaud
,	PUN	,
combe	NOM	combe
des	PRP:det	du
cives	NOM	cive
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
-	PUN	-
le	DET:ART	le
«	PUN:cit	«
refuge	NOM	refuge
de	PRP	de
la	DET:ART	le
perruque	NOM	perruque
»,	ADJ	»,
au	PRP:det	au
pré	NOM	pré
poncet	ADJ	poncet
,	PUN	,
exposition	NOM	exposition
«	PUN:cit	«
un	DET:ART	un
siècle	NOM	siècle
de	PRP	de
ski	NOM	ski
»,	ABR	»,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.13	NUM	@card@
.	SENT	.
