quoi	PRO	quoi
de	PRP	de
mieux	ADV	mieux
que	KON	que
de	PRP	de
courir	VER:infi	courir
par	PRP	par
un	DET:ART	un
froid	NOM	froid
sec	ADJ	sec
sous	PRP	sous
le	DET:ART	le
soleil	NOM	soleil
?	SENT	?
le	DET:ART	le
temps	NOM	temps
était	VER:impf	être
idéal	ADJ	idéal
,	PUN	,
dimanche	NOM	dimanche
après-midi	NOM	après-midi
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
de	PRP	de
loisirs	NOM	loisir
du	PRP:det	du
lac	NOM	lac
de	PRP	de
vaivre	NOM	vaivre
pour	PRP	pour
les	DET:ART	le
championnats	NOM	championnat
départementaux	ADJ	départemental
de	PRP	de
cross-country	NOM	cross-country
.	SENT	.
en	PRO:PER	en
fait	VER:pres	faire
,	PUN	,
ils	PRO:PER	il
n'	ADV	ne
étaient	VER:impf	être
pas	ADV	pas
réservés	VER:pper	réserver
aux	PRP:det	au
seuls	ADJ	seul
licenciés	NOM	licencié
de	PRP	de
la	DET:ART	le
ffa	NOM	ffa
puisque	KON	puisque
comité	NOM	comité
d'	PRP	de
athlétisme	NOM	athlétisme
organisait	VER:impf	organiser
aussi	ADV	aussi
un	DET:ART	un
classement	NOM	classement
«	PUN:cit	«
sport	NOM	sport
pour	PRP	pour
tous	PRO:IND	tout
».	NOM	».
en	PRP	en
tout	PRO:IND	tout
cas	NOM	cas
,	PUN	,
le	DET:ART	le
parcours	NOM	parcours
se	PRO:PER	se
prêtait	VER:impf	prêter
bien	ADV	bien
à	PRP	à
ces	PRO:DEM	ce
six	NUM	six
épreuves	NOM	épreuve
successives	ADJ	successif
,	PUN	,
permettant	VER:ppre	permettre
de	PRP	de
faire	VER:infi	faire
courir	VER:infi	courir
,	PUN	,
catégorie	NOM	catégorie
par	PRP	par
catégorie	NOM	catégorie
,	PUN	,
aussi	ADV	aussi
bien	ADV	bien
les	DET:ART	le
poussins	NOM	poussin
et	KON	et
poussines	NOM	poussine
(	PUN	(
sur	PRP	sur
2.240	NUM	@card@
m	NOM	m
)	PUN	)
que	KON	que
les	DET:ART	le
espoirs	NOM	espoir
,	PUN	,
seniors	NOM	senior
hommes	NOM	homme
et	KON	et
vétérans	NOM	vétéran
h	ABR	heure
(	PUN	(
sur	PRP	sur
9.665	NUM	@card@
m	NOM	m
).	VER:subi	).
voir	VER:infi	voir
nos	DET:POS	notre
pages	NOM	page
sportives	ADJ	sportif
.	SENT	.
prochains	ADJ	prochain
rendez-vous	NOM	rendez-vous
importants	ADJ	important
pour	PRP	pour
les	DET:ART	le
licenciés	NOM	licencié
sur	PRP	sur
le	DET:ART	le
même	ADJ	même
site	NOM	site
:	PUN	:
le	DET:ART	le
2	NUM	@card@
février	NOM	février
avec	PRP	avec
les	DET:ART	le
championnats	NOM	championnat
régionaux	ADJ	régional
et	KON	et
le	DET:ART	le
16	NUM	@card@
février	NOM	février
avec	PRP	avec
les	DET:ART	le
championnats	NOM	championnat
interrégionaux	ADJ	interrégional
.	SENT	.
