tout	PRO:IND	tout
juste	NOM	juste
12	NUM	@card@
degrés	NOM	degré
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
cm	NOM	cm
2,	NUM	@card@
au	PRP:det	au
troisième	NUM	troisième
étage	NOM	étage
de	PRP	de
l'	DET:ART	le
école	NOM	école
communale	ADJ	communal
de	PRP	de
pouilley-les-vignes	NOM	pouilley-les-vignes
,	PUN	,
14	NUM	@card@
degrés	NOM	degré
pour	PRP	pour
les	DET:ART	le
cp	NOM	cp
et	KON	et
ce	PRO:DEM	ce
1	NUM	@card@
au	PRP:det	au
deuxième	NUM	deuxième
étage	NOM	étage
.	SENT	.
pour	PRP	pour
des	PRP:det	du
élèves	NOM	élève
assis	VER:pper	asseoir
,	PUN	,
même	ADV	même
chaudement	ADV	chaudement
vêtus	VER:pper	vêtir
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
pratiquement	ADV	pratiquement
intenable	ADJ	intenable
.	SENT	.
finalement	ADV	finalement
,	PUN	,
hier	ADV	hier
matin	NOM	matin
,	PUN	,
les	DET:ART	le
enseignants	NOM	enseignant
ont	VER:pres	avoir
demandé	VER:pper	demander
aux	PRP:det	au
parents	NOM	parent|parents
de	PRP	de
venir	VER:infi	venir
rechercher	VER:infi	rechercher
les	DET:ART	le
enfants	NOM	enfant
.	SENT	.
problème	NOM	problème
récurrent	ADJ	récurrent
:	PUN	:
le	DET:ART	le
«	PUN:cit	«
record	NOM	record
»	PUN:cit	»
cette	PRO:DEM	ce
année	NOM	année
est	VER:pres	être
de	PRP	de
9	NUM	@card@
degrés	NOM	degré
le	DET:ART	le
13	NUM	@card@
janvier	NOM	janvier
.	SENT	.
pour	PRP	pour
obtenir	VER:infi	obtenir
20	NUM	@card@
degrés	NOM	degré
au	PRP:det	au
troisième	NUM	troisième
étage	NOM	étage
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
faire	VER:infi	faire
monter	VER:infi	monter
la	DET:ART	le
température	NOM	température
à.	ABR	à.
..	ABR	..
28	NUM	@card@
degrés	NOM	degré
au	PRP:det	au
premier	NOM	premier
.	SENT	.
pour	PRP	pour
palier	NOM	palier
les	DET:ART	le
déficiences	NOM	déficience
du	PRP:det	du
chauffage	NOM	chauffage
par	PRP	par
le	DET:ART	le
sol	NOM	sol
et	KON	et
de	PRP	de
sa	DET:POS	son
régulation	NOM	régulation
ou	KON	ou
de	PRP	de
l'	DET:ART	le
isolation	NOM	isolation
du	PRP:det	du
bâtiment	NOM	bâtiment
,	PUN	,
la	DET:ART	le
municipalité	NOM	municipalité
envisage	VER:pres	envisager
d'	PRP	de
installer	VER:infi	installer
un	DET:ART	un
chauffage	NOM	chauffage
d'	PRP	de
appoint	NOM	appoint
.	SENT	.
mais	KON	mais
les	DET:ART	le
enseignants	NOM	enseignant
,	PUN	,
si	KON	si
la	DET:ART	le
situation	NOM	situation
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
évolué	VER:pper	évoluer
,	PUN	,
envisagent	VER:pres	envisager
de	PRP	de
ne	ADV	ne
pas	ADV	pas
accueillir	VER:infi	accueillir
demain	ADV	demain
lundi	NOM	lundi
les	DET:ART	le
élèves	NOM	élève
des	PRP:det	du
cp	NOM	cp
,	PUN	,
ce	PRO:DEM	ce
1	NUM	@card@
et	KON	et
cm	NOM	cm
2.	ADJ	@ord@
