doté	VER:pper	doter
d'	PRP	de
une	DET:ART	un
voix	NOM	voix
magique	ADJ	magique
,	PUN	,
incomparable	ADJ	incomparable
qui	PRO:REL	qui
ciselait	VER:impf	ciseler
«	PUN:cit	«
are	NOM	are
you	ADJ	you
lonesome	ADJ	lonesome
tonight	NOM	tonight
?	SENT	?
»	PUN:cit	»
ou	KON	ou
«	PUN:cit	«
love	VER:pres	lover
me	PRO:PER	me
tender	NOM	tender
»	PUN:cit	»
jusqu'à	NOM	jusqu'à
nous	PRO:PER	nous
bercer	VER:infi	bercer
le	DET:ART	le
c	NOM	c
	ADJ	
ur	VER:simp	ur
d'	PRP	de
une	DET:ART	un
langueur	NOM	langueur
infinie	ADJ	infini
,	PUN	,
le	DET:ART	le
king	NOM	king
avait	VER:impf	avoir
également	ADV	également
une	DET:ART	un
extraordinaire	ADJ	extraordinaire
présence	NOM	présence
sur	PRP	sur
scène	NOM	scène
d'	PRP	de
où	PRO:REL	où
son	DET:POS	son
nom	NOM	nom
«	PUN:cit	«
d'	PRP	de
elvis	NOM	elvis
le	DET:ART	le
pelvis	NOM	pelvis
»	PUN:cit	»
en	PRP	en
raison	NOM	raison
de	PRP	de
ses	DET:POS	son
déhanchements	NOM	déhanchement
lascifs	ADJ	lascif
qui	PRO:REL	qui
lui	PRO:PER	lui
permirent	VER:simp	permettre
,	PUN	,
en	PRP	en
1956	NUM	@card@
de	PRP	de
faire	VER:infi	faire
bondir	VER:infi	bondir
l'	DET:ART	le
audimat	NOM	audimat
télé	NOM	télé
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
veille	NOM	veille
de	PRP	de
la	DET:ART	le
commémoration	NOM	commémoration
du	PRP:det	du
25	NUM	@card@
e	NOM	e
anniversaire	ADJ	anniversaire
de	PRP	de
la	DET:ART	le
mort	NOM	mort
du	PRP:det	du
king	NOM	king
,	PUN	,
l'	DET:ART	le
amicale	ADJ	amical
du	PRP:det	du
personnel	NOM	personnel
communal	ADJ	communal
vous	PRO:PER	vous
invite	VER:pres	inviter
,	PUN	,
jeudi	NOM	jeudi
6	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
cinéma	NOM	cinéma
pax	NOM	pax
à	PRP	à
valdahon	NOM	valdahon
à	PRP	à
un	DET:ART	un
spectacle	NOM	spectacle
à	PRP	à
la	DET:ART	le
elvis	NOM	elvis
presley	NOM	presley
avec	PRP	avec
bill	NOM	bill
.	SENT	.
une	DET:ART	un
soirée	NOM	soirée
familiale	ADJ	familial
et	KON	et
conviviale	ADJ	convivial
à	PRP	à
ne	ADV	ne
pas	ADV	pas
manquer	VER:infi	manquer
.	SENT	.
entrée	NOM	entrée
7	NUM	@card@
.	ABR	.
réservations	NOM	réservation
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
services	NOM	service
du	PRP:det	du
valdahon	NOM	valdahon
:	PUN	:
03.81	NUM	@card@
.	SENT	.
26.04	NUM	@card@
.	SENT	.
10	NUM	@card@
