quorum	NOM	quorum
atteint	VER:pper	atteindre
de	PRP	de
justesse	NOM	justesse
pour	PRP	pour
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
du	PRP:det	du
3	NUM	@card@
février	NOM	février
à	PRP	à
la	DET:ART	le
suite	NOM	suite
de	PRP	de
celui	PRO:DEM	celui
du	PRP:det	du
29	NUM	@card@
janvier	NOM	janvier
annulé	VER:pper	annuler
.	SENT	.
les	DET:ART	le
délibérations	NOM	délibération
ont	VER:pres	avoir
débuté	VER:pper	débuter
par	PRP	par
l'	DET:ART	le
extension	NOM	extension
de	PRP	de
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
plantes	NOM	plante
au	PRP:det	au
bô	NOM	bô
.	SENT	.
considérant	VER:ppre	considérer
la	DET:ART	le
nécessité	NOM	nécessité
pour	PRP	pour
la	DET:ART	le
commune	NOM	commune
d'	PRP	de
obtenir	VER:infi	obtenir
la	DET:ART	le
maîtrise	NOM	maîtrise
foncière	ADJ	foncier
du	PRP:det	du
terrain	NOM	terrain
c	VER:futu	c
1053	NUM	@card@
qui	PRO:REL	qui
a	VER:pres	avoir
fait	VER:pper	faire
l'	DET:ART	le
objet	NOM	objet
d'	PRP	de
une	DET:ART	un
déclaration	NOM	déclaration
d'	PRP	de
abandon	NOM	abandon
manifeste	ADJ	manifeste
(	PUN	(
conseil	NOM	conseil
municipal	ADJ	municipal
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mars	NOM	mars
2002	NUM	@card@
),	NOM	),
que	KON	que
la	DET:ART	le
présence	NOM	présence
du	PRP:det	du
terrain	NOM	terrain
c	VER:futu	c
1	NUM	@card@
053	NUM	@card@
abandonné	VER:pper	abandonner
nuit	NOM	nuit
à	PRP	à
la	DET:ART	le
poursuite	NOM	poursuite
de	PRP	de
l'	DET:ART	le
aménagement	NOM	aménagement
de	PRP	de
cette	PRO:DEM	ce
rue	NOM	rue
,	PUN	,
et	KON	et
que	KON	que
l'	DET:ART	le
acquisition	NOM	acquisition
amiable	ADJ	amiable
de	PRP	de
ce	PRO:DEM	ce
bien	NOM	bien
se	PRO:PER	se
révèle	VER:pres	révéler
impossible	ADJ	impossible
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
d'	PRP	de
acquérir	VER:infi	acquérir
par	PRP	par
voie	NOM	voie
d'	PRP	de
expropriation	NOM	expropriation
le	DET:ART	le
bien	ADV	bien
section	NOM	section
c	VER:subi	c
1	NUM	@card@
053	NUM	@card@
de	PRP	de
solliciter	VER:infi	solliciter
de	PRP	de
m.	VER:infi	m.
le	DET:ART	le
préfet	NOM	préfet
de	PRP	de
meurthe-et-moselle	NOM	meurthe-et-moselle
l'	DET:ART	le
ouverture	NOM	ouverture
conjointe	ADJ	conjoint
des	PRP:det	du
enquêtes	NOM	enquête
préalables	ADJ	préalable
à	PRP	à
la	DET:ART	le
dup	NOM	dup
et	KON	et
parcellaire	ADJ	parcellaire
,	PUN	,
la	DET:ART	le
déclaration	NOM	déclaration
d'	PRP	de
utilité	NOM	utilité
publique	ADJ	publique
de	PRP	de
l'	DET:ART	le
acquisition	NOM	acquisition
du	PRP:det	du
terrain	NOM	terrain
,	PUN	,
l'	DET:ART	le
arrêté	NOM	arrêté
de	PRP	de
cessibilité	NOM	cessibilité
de	PRP	de
la	DET:ART	le
parcelle	NOM	parcelle
touchée	VER:pper	toucher
,	PUN	,
de	PRP	de
solliciter	VER:infi	solliciter
l'	DET:ART	le
intervention	NOM	intervention
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
public	ADJ	public
foncier	ADJ	foncier
de	PRP	de
lorraine	ADJ	lorrain
pour	PRP	pour
mener	VER:infi	mener
à	PRP	à
bien	ADV	bien
la	DET:ART	le
procédure	NOM	procédure
d'	PRP	de
expropriation	NOM	expropriation
,	PUN	,
d'	PRP	de
autoriser	VER:infi	autoriser
le	DET:ART	le
maire	NOM	maire
à	PRP	à
signer	VER:infi	signer
la	DET:ART	le
convention	NOM	convention
à	PRP	à
venir	VER:infi	venir
avec	PRP	avec
l'	DET:ART	le
epf	NOM	epf
lorraine	ADJ	lorrain
.	SENT	.
classement	NOM	classement
des	PRP:det	du
rues	NOM	rue
et	KON	et
parcelles	NOM	parcelle
dans	PRP	dans
le	DET:ART	le
domaine	NOM	domaine
public	ADJ	public
.	SENT	.
_	ADJ	_
suite	NOM	suite
à	PRP	à
la	DET:ART	le
délibération	NOM	délibération
du	PRP:det	du
5	NUM	@card@
novembre	NOM	novembre
2002	NUM	@card@
vu	VER:pper	voir
l'	DET:ART	le
arrêté	NOM	arrêté
du	PRP:det	du
12	NUM	@card@
novembre	NOM	novembre
2002	NUM	@card@
vu	VER:pper	voir
la	DET:ART	le
publicité	NOM	publicité
faite	VER:pper	faire
à	PRP	à
la	DET:ART	le
porte	NOM	porte
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
dans	PRP	dans
les	DET:ART	le
journaux	NOM	journal|journau
locaux	ADJ	local
,	PUN	,
vu	VER:pper	voir
l'	DET:ART	le
enquête	NOM	enquête
publique	ADJ	publique
réalisée	VER:pper	réaliser
du	PRP:det	du
29	NUM	@card@
novembre	NOM	novembre
au	PRP:det	au
13	NUM	@card@
décembre	NOM	décembre
,	PUN	,
vu	VER:pper	voir
l'	DET:ART	le
avis	NOM	avis
positif	ADJ	positif
du	PRP:det	du
commissaire	NOM	commissaire
enquêteur	ADJ	enquêteur
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
décide	VER:pres	décider
le	DET:ART	le
classement	NOM	classement
dans	PRP	dans
le	DET:ART	le
domaine	NOM	domaine
public	ADJ	public
du	PRP:det	du
chemin	NOM	chemin
de	PRP	de
la	DET:ART	le
ferme	ADJ	ferme
saint-louis	NOM	saint-louis
,	PUN	,
de	PRP	de
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
vignes	NOM	vigne
,	PUN	,
et	KON	et
d'	PRP	de
une	DET:ART	un
partie	NOM	partie
de	PRP	de
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
plantes	NOM	plante
au	PRP:det	au
bô	NOM	bô
;	PUN	;
des	PRP:det	du
parcelles	NOM	parcelle
rue	NOM	rue
nationale	ADJ	national
,	PUN	,
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
eglise	NOM	eglise
et	KON	et
grande-rue	NOM	grande-rue
.	SENT	.
vente	NOM	vente
d'	PRP	de
une	DET:ART	un
parcelle	NOM	parcelle
.	SENT	.
_	NOM	_
le	DET:ART	le
conseil	NOM	conseil
donne	VER:pres	donner
son	DET:POS	son
accord	NOM	accord
pour	PRP	pour
la	DET:ART	le
vente	NOM	vente
de	PRP	de
la	DET:ART	le
parcelle	NOM	parcelle
b	VER:futu	b
1	NUM	@card@
349	NUM	@card@
d'	PRP	de
une	DET:ART	un
superficie	NOM	superficie
de	PRP	de
3,53	NUM	@card@
ares	NOM	are
au	PRP:det	au
prix	NOM	prix
de	PRP	de
2.287	NUM	@card@
	NOM	
l'	DET:ART	le
are	NOM	are
.	SENT	.
les	DET:ART	le
frais	NOM	frai|frais
de	PRP	de
notaire	NOM	notaire
,	PUN	,
éventuellement	ADV	éventuellement
de	PRP	de
géomètre	NOM	géomètre
étant	VER:ppre	être
à	PRP	à
la	DET:ART	le
charge	NOM	charge
du	PRP:det	du
preneur	NOM	preneur
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
assurer	VER:infi	assurer
la	DET:ART	le
viabilité	NOM	viabilité
de	PRP	de
ce	PRO:DEM	ce
terrain	NOM	terrain
avant	PRP	avant
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
octobre	NOM	octobre
2003	NUM	@card@
cc	NOM	cc
3	NUM	@card@
v	NOM	v
competence	NOM	competence
jeunesse	NOM	jeunesse
.	SENT	.
_	NOM	_
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
refuse	VER:pres	refuser
la	DET:ART	le
nouvelle	ADJ	nouveau
compétence	NOM	compétence
donnée	VER:pper	donner
à	PRP	à
la	DET:ART	le
cc	NOM	cc
3	NUM	@card@
v	NOM	v
concernant	VER:ppre	concerner
l'	DET:ART	le
animation	NOM	animation
jeunesse	NOM	jeunesse
intercommunale	ADJ	intercommunal
.	SENT	.
divers	ADJ	divers
.	SENT	.
_	NOM	_
la	DET:ART	le
commune	NOM	commune
demande	VER:pres	demander
que	KON	que
les	DET:ART	le
parcelles	NOM	parcelle
6	NUM	@card@
et	KON	et
14	NUM	@card@
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
soient	VER:subp	être
inscrites	VER:pper	inscrire
à	PRP	à
l'	DET:ART	le
état	NOM	état
d'	PRP	de
assiette	NOM	assiette
pour	PRP	pour
l'	DET:ART	le
exercice	NOM	exercice
2003	NUM	@card@
en	PRP	en
2003	NUM	@card@
l'	DET:ART	le
onf	NOM	onf
prévoit	VER:pres	prévoir
1.100	NUM	@card@
	NOM	
d'	PRP	de
investissement	NOM	investissement
dans	PRP	dans
la	DET:ART	le
forêt	NOM	forêt
communale	ADJ	communal
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
accepte	VER:pres	accepter
la	DET:ART	le
nouvelle	ADJ	nouveau
convention	NOM	convention
cnp	NOM	cnp
