venissieux	NOM	venissieux
.	SENT	.
_	ADJ	_
mions/vénissieux	NOM	mions/vénissieux
et	KON	et
e.m	NOM	e.m
.	SENT	.
vesoul	NOM	vesoul
9	NUM	@card@
-	PUN	-
9	NUM	@card@
ces	PRO:DEM	ce
deux	NUM	deux
équipes	NOM	équipe
de	PRP	de
valeur	NOM	valeur
égale	ADJ	égal
n'	ADV	ne
ont	VER:pres	avoir
pu	VER:pper	pouvoir
se	PRO:PER	se
départager	VER:infi	départager
,	PUN	,
samedi	NOM	samedi
soir	NOM	soir
,	PUN	,
dans	PRP	dans
le	DET:ART	le
gymnase	NOM	gymnase
de	PRP	de
vénissieux	NOM	vénissieux
.	SENT	.
grâce	NOM	grâce
aux	PRP:det	au
deux	NUM	deux
victoires	NOM	victoire
en	PRP	en
double	NOM	double
,	PUN	,
les	DET:ART	le
vésuliennes	ADJ	vésuliennes
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
le	DET:ART	le
nul	ADJ	nul
.	SENT	.
les	DET:ART	le
résultats	NOM	résultat
simples	ADJ	simple
:	PUN	:
cécile	NOM	cécile
ravoyard	NOM	ravoyard
(	PUN	(
emv	NOM	emv
,	PUN	,
n	VER:simp	n
°	NOM	°
292	NUM	@card@
)	PUN	)
bat	NOM	bat
curtal	ADJ	curtal
(	PUN	(
271	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
1	NUM	@card@
bat	NOM	bat
chatelard	NOM	chatelard
(	PUN	(
290	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
1	NUM	@card@
bat	NOM	bat
royet	ADJ	royet
(	PUN	(
à	PRP	à
30	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
battue	NOM	battue
par	PRP	par
pras	NOM	pras
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
isabelle	ADJ	isabelle
rosain	NOM	rosain
(	PUN	(
emv	NOM	emv
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
chatelard	NOM	chatelard
3	NUM	@card@
-	PUN	-
1	NUM	@card@
bat	NOM	bat
royet	NOM	royet
3	NUM	@card@
-	PUN	-
0	NUM	@card@
battue	NOM	battue
par	PRP	par
curtal	NOM	curtal
2	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
pras	NOM	pras
1	NUM	@card@
-	PUN	-
3	NUM	@card@
anne-cécile	NOM	anne-cécile
poivey	ADJ	poivey
(	PUN	(
emv	NOM	emv
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
royet	NOM	royet
3	NUM	@card@
-	PUN	-
0	NUM	@card@
battue	NOM	battue
par	PRP	par
pras	NOM	pras
2	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
chatelard	NOM	chatelard
2	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
curtal	NOM	curtal
2	NUM	@card@
-	PUN	-
3	NUM	@card@
marie-laure	NOM	marie-laure
petitjean	NOM	petitjean
(	PUN	(
emv	NOM	emv
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	NOM	bat
curtal	ADJ	curtal
3	NUM	@card@
-	PUN	-
1	NUM	@card@
battue	NOM	battue
par	PRP	par
pras	NOM	pras
1	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
royet	NOM	royet
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
chatelard	NOM	chatelard
2	NUM	@card@
-	PUN	-
3	NUM	@card@
doubles	NOM	double
:	PUN	:
rosain-poivey	NOM	rosain-poivey
battent	VER:pres	battre
curtal-royet	NOM	curtal-royet
3	NUM	@card@
-	PUN	-
0	NUM	@card@
ravoyard-petitjean	NOM	ravoyard-petitjean
battent	VER:pres	battre
chatelard-pras	NOM	chatelard-pras
3	NUM	@card@
-	PUN	-
1	NUM	@card@
