messieurs	NOM	messieurs
seniors	NOM	senior
:	PUN	:
1	NUM	@card@
d.	ABR	d.
antoine	NOM	antoine
(	PUN	(
cise	VER:pper	cise
)	PUN	)
33	NUM	@card@
'	PUN	'
30	NUM	@card@
;	PUN	;
2	NUM	@card@
j-p	NOM	j-p
.	SENT	.
pierrat	NOM	pierrat
(	PUN	(
resda	VER:simp	resda
)	PUN	)
34	NUM	@card@
'	PUN	'
49	NUM	@card@
;	PUN	;
3	NUM	@card@
d.	ABR	d.
duchene	NOM	duchene
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
34	NUM	@card@
'	PUN	'
55	NUM	@card@
;	PUN	;
4	NUM	@card@
s.	ABR	s.
jechoux	ADJ	jechoux
(	PUN	(
cise	VER:pper	cise
)	PUN	)
35	NUM	@card@
'	PUN	'
23	NUM	@card@
;	PUN	;
5	NUM	@card@
e.	ABR	e.
perrard	NOM	perrard
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
35	NUM	@card@
'	PUN	'
55	NUM	@card@
;	PUN	;
6	NUM	@card@
j-p	NOM	j-p
.	SENT	.
claude	NOM	claude
(	PUN	(
est	VER:pres	être
)	PUN	)
36	NUM	@card@
'	PUN	'
60	NUM	@card@
;	PUN	;
7	NUM	@card@
sylvain	ADJ	sylvain
mougel	NOM	mougel
(	PUN	(
cohm	NOM	cohm
)	PUN	)
36	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
8	NUM	@card@
m.	ABR	m.
thiriot	NOM	thiriot
(	PUN	(
est	VER:pres	être
)	PUN	)
36	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
9	NUM	@card@
j-m	NOM	j-m
.	SENT	.
denys	NOM	denys
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
37	NUM	@card@
'	PUN	'
7	NUM	@card@
;	PUN	;
10	NUM	@card@
m.	ABR	m.
mengin	NOM	mengin
(	PUN	(
cohm	NOM	cohm
)	PUN	)
37	NUM	@card@
'	PUN	'
12	NUM	@card@
;	PUN	;
11	NUM	@card@
g.	ABR	g.
diard	NOM	diard
(	PUN	(
est	VER:pres	être
)	PUN	)
37	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
12	NUM	@card@
d.	ABR	d.
bijou	NOM	bijou
(	PUN	(
resda	VER:simp	resda
)	PUN	)
37	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
13	NUM	@card@
j.	ABR	j.
humbert	NOM	humbert
(	PUN	(
cohm	NOM	cohm
)	PUN	)
37	NUM	@card@
'	PUN	'
51	NUM	@card@
;	PUN	;
14	NUM	@card@
p.	ABR	p.
heulluy	NOM	heulluy
(	PUN	(
est	VER:pres	être
)	PUN	)
37	NUM	@card@
'	PUN	'
53	NUM	@card@
;	PUN	;
15	NUM	@card@
r.	ABR	r.
genay	NOM	genay
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
37	NUM	@card@
'	PUN	'
54	NUM	@card@
;	PUN	;
16	NUM	@card@
g.	ABR	g.
breyton	NOM	breyton
(	PUN	(
asrhv	NOM	asrhv
)	PUN	)
38	NUM	@card@
'	PUN	'
34	NUM	@card@
;	PUN	;
17	NUM	@card@
d.	ABR	d.
curien	NOM	curien
(	PUN	(
cohm	NOM	cohm
)	PUN	)
38	NUM	@card@
'	PUN	'
52	NUM	@card@
;	PUN	;
18	NUM	@card@
h.	ABR	h.
bersi	NOM	bersi
(	PUN	(
cohm	NOM	cohm
)	PUN	)
39	NUM	@card@
'	PUN	'
00	NUM	@card@
;	PUN	;
19	NUM	@card@
d.	ABR	d.
henry	NOM	henry
(	PUN	(
resda	VER:simp	resda
)	PUN	)
39	NUM	@card@
'	PUN	'
28	NUM	@card@
;	PUN	;
20	NUM	@card@
j.	ABR	j.
jeangeorge	NOM	jeangeorge
(	PUN	(
cohm	NOM	cohm
)	PUN	)
39	NUM	@card@
'	PUN	'
34	NUM	@card@
;	PUN	;
21	NUM	@card@
m.	ABR	m.
bannerot	NOM	bannerot
(	PUN	(
resda	VER:simp	resda
)	PUN	)
39	NUM	@card@
'	PUN	'
52	NUM	@card@
;	PUN	;
22	NUM	@card@
d.	ABR	d.
wendling	NOM	wendling
(	PUN	(
pac	NOM	pac
gam	NOM	gam
)	PUN	)
40	NUM	@card@
'	PUN	'
14	NUM	@card@
;	PUN	;
23	NUM	@card@
j.	ABR	j.
pierrel	NOM	pierrel
(	PUN	(
cohm	NOM	cohm
)	PUN	)
40	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
24	NUM	@card@
d.	ABR	d.
gibier	NOM	gibier
(	PUN	(
est	VER:pres	être
)	PUN	)
