qui	PRO	qui
franchira	VER:futu	franchir
le	DET:ART	le
plus	ADV	plus
vite	ADV	vite
l'	DET:ART	le
atlantique	NOM	atlantique
?	SENT	?
la	DET:ART	le
compétition	NOM	compétition
entre	PRP	entre
le	DET:ART	le
«	PUN:cit	«
queen	NOM	queen
mary	NOM	mary
»	PUN:cit	»
anglais	ADJ	anglais
et	KON	et
le	DET:ART	le
«	PUN:cit	«
normandie	NOM	normandie
»	PUN:cit	»
français	ADJ	français
a	VER:pres	avoir
passionné	VER:pper	passionner
l'	DET:ART	le
europe	NOM	europe
d'	PRP	de
entre	PRP	entre
les	DET:ART	le
deux	NUM	deux
guerres	NOM	guerre
.	SENT	.
cette	PRO:DEM	ce
lutte	VER:pres	lutter
pour	PRP	pour
le	DET:ART	le
fameux	ADJ	fameux
«	PUN:cit	«
ruban	NOM	ruban
bleu	ADJ	bleu
»	PUN:cit	»
a	VER:pres	avoir
attisé	VER:pper	attiser
les	DET:ART	le
orgueils	NOM	orgueil
nationaux	ADJ	national
,	PUN	,
mais	KON	mais
elle	PRO:PER	elle
a	VER:pres	avoir
également	ADV	également
accéléré	VER:pper	accélérer
le	DET:ART	le
progrès	NOM	progrès
technique	ADJ	technique
,	PUN	,
médical	ADJ	médical
,	PUN	,
et	KON	et
l'	DET:ART	le
émancipation	NOM	émancipation
féminine	ADJ	féminin
,	PUN	,
souligne	VER:pres	souligner
rosine	NOM	rosine
lagier	NOM	lagier
:	PUN	:
«	PUN:cit	«
tout	ADV	tout
à	PRP	à
coup	NOM	coup
,	PUN	,
la	DET:ART	le
femme	NOM	femme
du	PRP:det	du
monde	NOM	monde
était	VER:impf	être
contrainte	VER:pper	contraindre
de	PRP	de
faire	VER:infi	faire
ses	DET:POS	son
valises	NOM	valise
,	PUN	,
de	PRP	de
s'	PRO:PER	se
habiller	VER:infi	habiller
ou	KON	ou
se	PRO:PER	se
coiffer	VER:infi	coiffer
seule	ADJ	seul
!	SENT	!
»	PUN:cit	»
dans	PRP	dans
l'	DET:ART	le
écriture	NOM	écriture
,	PUN	,
la	DET:ART	le
mise	NOM	mise
en	PRP	en
page	NOM	page
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
au	PRP:det	au
quotidien	NOM	quotidien
et	KON	et
dans	PRP	dans
les	DET:ART	le
quotidiens	NOM	quotidien
,	PUN	,
rosine	NOM	rosine
lagier	NOM	lagier
aussi	ADV	aussi
a	VER:pres	avoir
trouvé	VER:pper	trouver
une	DET:ART	un
libération	NOM	libération
.	SENT	.
tous	PRO:IND	tout
les	DET:ART	le
dix	NUM	dix
ans	NOM	an
,	PUN	,
elle	PRO:PER	elle
se	PRO:PER	se
plaît	VER:pres	plaire
à	PRP	à
dire	VER:infi	dire
qu'	KON	que
elle	PRO:PER	elle
change	VER:pres	changer
de	PRP	de
métier	NOM	métier
