quelque	PRO:IND	quelque
840	NUM	@card@
millions	NOM	million
de	PRP	de
personnes	NOM	personne
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
sont	VER:pres	être
aujourd'hui	ADV	aujourd'hui
sans	PRP	sans
«	PUN:cit	«
accès	NOM	accès
adéquat	ADJ	adéquat
à	PRP	à
la	DET:ART	le
nourriture	NOM	nourriture
»,	ADJ	»,
a	VER:pres	avoir
affirmé	VER:pper	affirmer
hier	ADV	hier
à	PRP	à
dakar	NOM	dakar
jacques	NOM	jacque|jacques
diouf	NOM	diouf
,	PUN	,
directeur	NOM	directeur
général	ADJ	général
de	PRP	de
l'	DET:ART	le
organisation	NOM	organisation
des	PRP:det	du
nations	NOM	nation
unies	VER:pper	unir
pour	PRP	pour
l'	DET:ART	le
alimentation	NOM	alimentation
et	KON	et
l'	DET:ART	le
agriculture	NOM	agriculture
(	PUN	(
fao	NOM	fao
).	VER:pper	).
parmi	PRP	parmi
ces	PRO:DEM	ce
personnes	NOM	personne
,	PUN	,
«	PUN:cit	«
799	NUM	@card@
millions	NOM	million
se	PRO:PER	se
trouvent	VER:pres	trouver
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
en	PRP	en
développement	NOM	développement
,	PUN	,
30	NUM	@card@
millions	NOM	million
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
en	PRP	en
transition	NOM	transition
et	KON	et
11	NUM	@card@
millions	NOM	million
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
industrialisés	VER:pper	industrialiser
»,	ADJ	»,
a	VER:pres	avoir
précisé	VER:pper	préciser
m.	VER:pper	m.
diouf	NOM	diouf
.	SENT	.
la	DET:ART	le
situation	NOM	situation
est	VER:pres	être
très	ADV	très
grave	ADJ	grave
notamment	ADV	notamment
en	PRP	en
asie	NOM	asie
,	PUN	,
«	PUN:cit	«
où	PRO:REL	où
se	PRO:PER	se
trouvent	VER:pres	trouver
la	DET:ART	le
majorité	NOM	majorité
des	PRP:det	du
personnes	NOM	personne
qui	PRO:REL	qui
ont	VER:pres	avoir
faim	NOM	faim
,	PUN	,
507	NUM	@card@
millions	NOM	million
»,	ADJ	»,
et	KON	et
en	PRP	en
afrique	ADJ	afrique
subsaharienne	NOM	subsaharienne
.	SENT	.
«	PUN:cit	«
cependant	ADV	cependant
,	PUN	,
en	PRP	en
termes	NOM	terme
de	PRP	de
proportion	NOM	proportion
de	PRP	de
la	DET:ART	le
population	NOM	population
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
afrique	NOM	afrique
qui	PRO:REL	qui
,	PUN	,
hélas	VER:simp	héler
,	PUN	,
se	PRO:PER	se
trouve	VER:pres	trouver
au	PRP:det	au
premier	NUM	premier
rang	NOM	rang
des	PRP:det	du
continents	NOM	continent
où	PRO:REL	où
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
le	DET:ART	le
niveau	NOM	niveau
de	PRP	de
sous-nutrition	NOM	sous-nutrition
le	DET:ART	le
plus	ADV	plus
élevé	ADJ	élevé
»,	NOM	»,
a-t-il	ADJ	a-t-il
ajouté	VER:pper	ajouter
,	PUN	,
le	DET:ART	le
pourcentage	NOM	pourcentage
de	PRP	de
personnes	NOM	personne
souffrant	VER:ppre	souffrir
de	PRP	de
la	DET:ART	le
faim	NOM	faim
y	PRO:PER	y
étant	VER:ppre	être
de	PRP	de
33	NUM	@card@
%,	NOM	%,
contre	PRP	contre
16	NUM	@card@
%	SYM	%
en	PRP	en
asie	NOM	asie
.	SENT	.
m.	ABR	m.
diouf	NOM	diouf
,	PUN	,
de	PRP	de
nationalité	NOM	nationalité
sénégalaise	ADJ	sénégalais
,	PUN	,
a	VER:pres	avoir
rappelé	VER:pper	rappeler
que	KON	que
le	DET:ART	le
sommet	NOM	sommet
mondial	ADJ	mondial
sur	PRP	sur
l'	DET:ART	le
alimentation	NOM	alimentation
organisé	VER:pper	organiser
en	PRP	en
juin	NOM	juin
2002	NUM	@card@
à	PRP	à
rome	NOM	rome
avait	VER:impf	avoir
«	PUN:cit	«
clairement	ADV	clairement
indiqué	VER:pper	indiquer
»	PUN:cit	»
que	KON	que
la	DET:ART	le
réalisation	NOM	réalisation
des	PRP:det	du
objectifs	NOM	objectif
fixés	VER:pper	fixer
pour	PRP	pour
améliorer	VER:infi	améliorer
la	DET:ART	le
situation	NOM	situation
alimentaire	ADJ	alimentaire
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
«	PUN:cit	«
incombe	VER:pres	incomber
aux	PRP:det	au
etats	NOM	etats
.	SENT	.
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
la	DET:ART	le
fao	NOM	fao
qui	PRO:REL	qui
fixe	VER:pres	fixer
les	DET:ART	le
budgets	NOM	budget
nationaux	ADJ	national
»,	NOM	»,
a-t-il	ADJ	a-t-il
souligné	VER:pper	souligner
.	SENT	.
