dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
championnats	NOM	championnat
départementaux	ADJ	départemental
de	PRP	de
cross-country	NOM	cross-country
auront	VER:futu	avoir
lieu	NOM	lieu
à	PRP	à
la	DET:ART	le
zone	NOM	zone
de	PRP	de
loisirs	NOM	loisir
du	PRP:det	du
lac	NOM	lac
de	PRP	de
vesoul-vaivre	NOM	vesoul-vaivre
,	PUN	,
côté	NOM	côté
camping	NOM	camping
.	SENT	.
courses	NOM	course
ouvertes	VER:pper	ouvrir
aux	PRP:det	au
non	ADV	non
licenciés	NOM	licencié
ffa	VER:simp	ffa
sous	PRP	sous
réserve	NOM	réserve
de	PRP	de
présentation	NOM	présentation
d'	PRP	de
un	DET:ART	un
certificat	NOM	certificat
médical	ADJ	médical
.	SENT	.
horaires	NOM	horaire
des	PRP:det	du
courses	NOM	course
:	PUN	:
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
poussins	NOM	poussin
(	PUN	(
2.240	NUM	@card@
m	NOM	m
)	PUN	)
;	PUN	;
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
benjamins	NOM	benjamin
h	ABR	heure
et	KON	et
f	VER:subi	f
,	PUN	,
minimes	ADJ	minime
f	NOM	f
(	PUN	(
3.405	NUM	@card@
m	NOM	m
)	PUN	)
;	PUN	;
14	NUM	@card@
h	ABR	heure
05	NUM	@card@
cadettes	NOM	cadet
(	PUN	(
3.855	NUM	@card@
m	VER:simp	m
),	ADJ	),
juniors	NOM	junior
,	PUN	,
espoirs	NOM	espoir
,	PUN	,
seniors	NOM	senior
f	ADJ	f
et	KON	et
vétérans	NOM	vétéran
f	ADJ	f
(	PUN	(
4.305	NUM	@card@
m	NOM	m
)	PUN	)
;	PUN	;
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
espoirs-seniors	NOM	espoirs-seniors
f	ADJ	f
et	KON	et
h	ABR	heure
(	PUN	(
4.305	NUM	@card@
m	NOM	m
)	PUN	)
;	PUN	;
14	NUM	@card@
h	ABR	heure
50	NUM	@card@
minimes	ADJ	minime
h	ABR	heure
(	PUN	(
4.305	NUM	@card@
m	NOM	m
)	PUN	)
et	KON	et
cadets	NOM	cadet
h	ABR	heure
(	PUN	(
4.755	NUM	@card@
m	NOM	m
)	PUN	)
;	PUN	;
15	NUM	@card@
h	ABR	heure
20	NUM	@card@
juniors	NOM	junior
h	ABR	heure
,	PUN	,
espoirs	NOM	espoir
,	PUN	,
seniors	NOM	senior
h	ABR	heure
(	PUN	(
6.635	NUM	@card@
m	VER:simp	m
),	ADJ	),
vétérans	NOM	vétéran
h	ABR	heure
(	PUN	(
9.665	NUM	@card@
m	NOM	m
).	ADJ	).
