respectant	VER:ppre	respecter
en	PRP	en
cela	PRO:DEM	cela
une	DET:ART	un
sympathique	ADJ	sympathique
tradition	NOM	tradition
,	PUN	,
les	DET:ART	le
eclaireurs	NOM	eclaireurs
ont	VER:pres	avoir
offert	VER:pper	offrir
en	PRP	en
ce	PRO:DEM	ce
premier	NUM	premier
samedi	NOM	samedi
de	PRP	de
janvier	NOM	janvier
leur	DET:POS	leur
fête	NOM	fête
de	PRP	de
groupe	NOM	groupe
à	PRP	à
leurs	DET:POS	leur
parents	NOM	parent|parents
et	KON	et
amis	NOM	ami
.	SENT	.
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
poudrière	NOM	poudrière
avait	VER:impf	avoir
comme	ADV	comme
à	PRP	à
l'	DET:ART	le
accoutumée	ADJ	accoutumé
fait	VER:pres	faire
le	DET:ART	le
plein	ADJ	plein
et	KON	et
il	PRO:PER	il
ne	ADV	ne
restait	VER:impf	rester
plus	ADV	plus
une	DET:ART	un
seule	ADJ	seul
place	NOM	place
de	PRP	de
libre	ADJ	libre
sur	PRP	sur
les	DET:ART	le
bancs	NOM	banc
.	SENT	.
alain	NOM	alain
durpoix	NOM	durpoix
et	KON	et
jean	NOM	jean
couilbeaux	NOM	couilbeaux
,	PUN	,
fidèles	NOM	fidèle
responsables	ADJ	responsable
de	PRP	de
la	DET:ART	le
troupe	NOM	troupe
,	PUN	,
ont	VER:pres	avoir
souhaité	VER:pper	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
spectateurs	NOM	spectateur
avant	PRP	avant
de	PRP	de
laisser	VER:infi	laisser
la	DET:ART	le
place	NOM	place
aux	PRP:det	au
responsables	ADJ	responsable
du	PRP:det	du
groupe	NOM	groupe
.	SENT	.
la	DET:ART	le
soirée	NOM	soirée
s'	PRO:PER	se
est	VER:pres	être
ouverte	VER:pper	ouvrir
sur	PRP	sur
une	DET:ART	un
pièce	NOM	pièce
de	PRP	de
théâtre	NOM	théâtre
des	PRP:det	du
eclaireurs	NOM	eclaireurs
avant	PRP	avant
que	PRO:REL	que
les	DET:ART	le
louveteaux	NOM	louveteau
ne	ADV	ne
déclinent	VER:subp	décliner
une	DET:ART	un
danse	NOM	danse
country	NOM	country
digne	ADJ	digne
du	PRP:det	du
far-west	NOM	far-west
.	SENT	.
le	DET:ART	le
montage	NOM	montage
diapos	NOM	diapo
des	PRP:det	du
camps	NOM	camp
d'	PRP	de
hiver	NOM	hiver
à	PRP	à
pontarlier	NOM	pontarlier
et	KON	et
d'	PRP	de
été	NOM	été
à	PRP	à
ste-croix-du-verdon	NOM	ste-croix-du-verdon
ont	VER:pres	avoir
ensuite	ADV	ensuite
été	VER:pper	être
à	PRP	à
l'	DET:ART	le
affiche	NOM	affiche
avant	PRP	avant
que	PRO:REL	que
les	DET:ART	le
eclaireurs	NOM	eclaireurs
ne	ADV	ne
déclament	VER:subp	déclamer
la	DET:ART	le
seconde	NUM	second
partie	NOM	partie
de	PRP	de
leur	DET:POS	leur
pièce	NOM	pièce
.	SENT	.
les	DET:ART	le
louveteaux	NOM	louveteau
ont	VER:pres	avoir
ensuite	ADV	ensuite
pris	VER:pper	prendre
le	DET:ART	le
relais	NOM	relais
pour	PRP	pour
un	DET:ART	un
chant	NOM	chant
avant	PRP	avant
qu'	PRO:REL	que
une	DET:ART	un
machine	NOM	machine
infernale	ADJ	infernal
née	VER:pper	naître
de	PRP	de
l'	DET:ART	le
esprit	NOM	esprit
des	PRP:det	du
louveteaux	NOM	louveteau
et	KON	et
eclaireurs	NOM	eclaireurs
ne	ADV	ne
surprennent	VER:pres	surprendre
toute	ADV	toute
l'	DET:ART	le
assemblée	NOM	assemblée
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
grand	ADJ	grand
chant	NOM	chant
collectif	ADJ	collectif
qui	PRO:REL	qui
a	VER:pres	avoir
clôturé	VER:pper	clôturer
la	DET:ART	le
soirée	NOM	soirée
avant	PRP	avant
la	DET:ART	le
dégustation	NOM	dégustation
des	PRP:det	du
gâteaux	NOM	gâteau
préparés	VER:pper	préparer
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
.	SENT	.
comme	KON	comme
à	PRP	à
l'	DET:ART	le
habitude	NOM	habitude
,	PUN	,
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
,	PUN	,
tant	ADV	tant
les	DET:ART	le
acteurs	NOM	acteur
que	KON	que
les	DET:ART	le
spectateurs	NOM	spectateur
,	PUN	,
a	VER:pres	avoir
apprécié	VER:pper	apprécier
ce	PRO:DEM	ce
moment	NOM	moment
à	PRP	à
la	DET:ART	le
fois	NOM	foi|fois
festif	ADJ	festif
et	KON	et
d'	PRP	de
échanges	NOM	échange
.	SENT	.
