dès	PRP	dès
17	NUM	@card@
ans	NOM	an
,	PUN	,
ils	PRO:PER	il
est	VER:pres	être
possible	ADJ	possible
de	PRP	de
passer	VER:infi	passer
le	PRO:PER	le
bafa	VER:simp	bafa
pour	PRP	pour
devenir	VER:infi	devenir
animateur	NOM	animateur
(	PUN	(
trice	ADJ	trice
).	VER:futu	).
l'	DET:ART	le
ufcv	NOM	ufcv
propose	VER:pres	proposer
une	DET:ART	un
formation	NOM	formation
donnant	VER:ppre	donner
des	PRP:det	du
compétences	NOM	compétence
pour	PRP	pour
accompagner	VER:infi	accompagner
des	PRP:det	du
enfants	NOM	enfant
et	KON	et
jeunes	NOM	jeune
pendant	PRP	pendant
leur	DET:POS	leur
temps	NOM	temps
libre	ADJ	libre
et	KON	et
dans	PRP	dans
leur	DET:POS	leur
projet	NOM	projet
de	PRP	de
vie	NOM	vie
;	PUN	;
veiller	VER:infi	veiller
à	PRP	à
la	DET:ART	le
sécurité	NOM	sécurité
physique	ADJ	physique
et	KON	et
affective	ADJ	affectif
des	PRP:det	du
enfants	NOM	enfant
et	KON	et
des	PRP:det	du
jeunes	NOM	jeune
;	PUN	;
proposer	VER:infi	proposer
et	KON	et
faire	VER:infi	faire
vivre	VER:infi	vivre
des	PRP:det	du
cadres	NOM	cadre
d'	PRP	de
organisation	NOM	organisation
au	PRP:det	au
service	NOM	service
des	PRP:det	du
projets	NOM	projet
des	PRP:det	du
enfants	NOM	enfant
et	KON	et
des	PRP:det	du
jeunes	NOM	jeune
.	SENT	.
formation	NOM	formation
générale	ADJ	général
bafa	VER:simp	bafa
:	PUN	:
du	PRP:det	du
15	NUM	@card@
au	PRP:det	au
22	NUM	@card@
février	NOM	février
,	PUN	,
deux	NUM	deux
sessions	NOM	session
dont	PRO:REL	dont
une	DET:ART	un
dans	PRP	dans
le	DET:ART	le
doubs	NOM	doubs
et	KON	et
une	NOM	un
en	PRP	en
demi-pension	NOM	demi-pension
à	PRP	à
vesoul	NOM	vesoul
;	PUN	;
du	PRP:det	du
22	NUM	@card@
février	NOM	février
au	PRP:det	au
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mars	NOM	mars
,	PUN	,
deux	NUM	deux
sessions	NOM	session
dont	PRO:REL	dont
une	DET:ART	un
dans	NOM	dan
le	PRO:PER	le
jura	VER:simp	jurer
et	KON	et
une	DET:ART	un
en	PRP	en
demi-pension	NOM	demi-pension
à	PRP	à
besançon	NOM	besançon
;	PUN	;
du	PRP:det	du
12	NUM	@card@
au	PRP:det	au
19	NUM	@card@
avril	NOM	avril
