ah	INT	ah
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
veut	VER:pres	vouloir
humain	ADJ	humain
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
lorsqu'il	ADJ	lorsqu'il
parle	VER:pres	parler
de	PRP	de
l'	DET:ART	le
emploi	NOM	emploi
et	KON	et
des	PRP:det	du
retraites	NOM	retraite
.	SENT	.
qu'	KON	que
il	PRO:PER	il
semble	VER:pres	sembler
déterminé	VER:pper	déterminer
lorsqu'il	NOM	lorsqu'il
dit	VER:pres	dire
vouloir	VER:infi	vouloir
sanctionner	VER:infi	sanctionner
les	DET:ART	le
patrons	NOM	patron
qui	PRO:REL	qui
profitent	VER:pres	profiter
de	PRP	de
la	DET:ART	le
situation	NOM	situation
pour	PRP	pour
licencier	VER:infi	licencier
.	SENT	.
qu'	KON	que
il	PRO:PER	il
est	VER:pres	être
habile	ADJ	habile
pour	PRP	pour
sortir	VER:infi	sortir
du	PRP:det	du
piège	NOM	piège
de	PRP	de
l'	DET:ART	le
isf	NOM	isf
en	PRP	en
expliquant	VER:ppre	expliquer
qu'	KON	que
il	PRO:PER	il
va	VER:pres	aller
taxer	VER:infi	taxer
l'	DET:ART	le
argent	NOM	argent
qui	PRO:REL	qui
dort	VER:pres	dormir
et	KON	et
alléger	VER:infi	alléger
la	DET:ART	le
charge	NOM	charge
de	PRP	de
celui	PRO:DEM	celui
qui	PRO:REL	qui
travaille	VER:pres	travailler
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
donc	ADV	donc
plein	ADJ	plein
d'	PRP	de
ardeur	NOM	ardeur
et	KON	et
de	PRP	de
raison	NOM	raison
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
intention	NOM	intention
de	PRP	de
se	PRO:PER	se
jouer	VER:infi	jouer
des	PRP:det	du
écueils	NOM	écueil
là	ADV	là
où	ADV	où
d'	PRP	de
autres	ADJ	autre
sombrent	VER:pres	sombrer
dans	PRP	dans
la	DET:ART	le
tourmente	NOM	tourmente
,	PUN	,
que	KON	que
le	DET:ART	le
premier	NUM	premier
ministre	NOM	ministre
nous	PRO:PER	nous
a	VER:pres	avoir
parlé	VER:pper	parler
de	PRP	de
la	DET:ART	le
grande	ADJ	grand
affaire	NOM	affaire
du	PRP:det	du
moment	NOM	moment
:	PUN	:
les	DET:ART	le
retraites	NOM	retraite
.	SENT	.
immédiatement	ADV	immédiatement
on	PRO:PER	on
a	VER:pres	avoir
envie	NOM	envie
de	PRP	de
lui	PRO:PER	lui
dire	VER:infi	dire
bon	ADJ	bon
courage	NOM	courage
.	SENT	.
car	KON	car
s'	PRO:PER	se
il	PRO:PER	il
ne	ADV	ne
prend	VER:pres	prendre
pas	ADV	pas
vraiment	ADV	vraiment
le	DET:ART	le
dossier	NOM	dossier
«	PUN:cit	«
bille	NOM	bille
en	PRP	en
tête	NOM	tête
»	PUN:cit	»
le	DET:ART	le
premier	NUM	premier
ministre	NOM	ministre
s'	PRO:PER	se
attaque	VER:pres	attaquer
de	PRP	de
fait	NOM	fait
à	PRP	à
trois	NUM	trois
tabous	NOM	tabou
:	PUN	:
la	DET:ART	le
durée	NOM	durée
de	PRP	de
la	DET:ART	le
cotisation	NOM	cotisation
des	PRP:det	du
fonctionnaires	NOM	fonctionnaire
,	PUN	,
la	DET:ART	le
retraite	NOM	retraite
à	PRP	à
60	NUM	@card@
ans	NOM	an
dont	PRO:REL	dont
le	DET:ART	le
principe	NOM	principe
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
remis	VER:pper	remettre
formellement	ADV	formellement
en	PRP	en
cause	NOM	cause
mais	KON	mais
qui	PRO:REL	qui
par	PRP	par
le	DET:ART	le
biais	NOM	biais
de	PRP	de
prestations	NOM	prestation
plus	ADV	plus
importantes	ADJ	important
pour	PRP	pour
ceux	PRO:DEM	celui
qui	PRO:REL	qui
voudront	VER:futu	vouloir
travailler	VER:infi	travailler
plus	ADV	plus
longtemps	ADV	longtemps
,	PUN	,
se	PRO:PER	se
trouve	VER:pres	trouver
sérieusement	ADV	sérieusement
ébranlé	VER:pper	ébranler
,	PUN	,
et	KON	et
l'	DET:ART	le
épargne	NOM	épargne
retraite	ADJ	retrait
dont	PRO:REL	dont
la	DET:ART	le
simple	ADJ	simple
évocation	NOM	évocation
est	VER:pres	être
interprétée	VER:pper	interpréter
comme	ADV	comme
un	DET:ART	un
mauvais	ADJ	mauvais
coup	NOM	coup
porté	VER:pper	porter
au	PRP:det	au
système	NOM	système
par	PRP	par
répartition	NOM	répartition
.	SENT	.
en	PRP	en
même	ADJ	même
temps	NOM	temps
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
de	PRP	de
la	DET:ART	le
prudence	NOM	prudence
dans	PRP	dans
la	DET:ART	le
démarche	NOM	démarche
de	PRP	de
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
sent	VER:pres	sentir
embarrassé	VER:pper	embarrasser
et	KON	et
surtout	ADV	surtout
conscient	ADJ	conscient
de	PRP	de
se	PRO:PER	se
trouver	VER:infi	trouver
au	PRP:det	au
pied	NOM	pied
d'	PRP	de
une	DET:ART	un
muraille	NOM	muraille
,	PUN	,
dont	PRO:REL	dont
l'	DET:ART	le
escalade	NOM	escalade
va	VER:pres	aller
illustrer	VER:infi	illustrer
son	DET:POS	son
art	NOM	art
ou	KON	ou
son	DET:POS	son
incapacité	NOM	incapacité
,	PUN	,
à	PRP	à
conduire	VER:infi	conduire
les	DET:ART	le
affaires	NOM	affaire
de	PRP	de
la	DET:ART	le
france	NOM	france
.	SENT	.
avant	PRP	avant
de	PRP	de
se	PRO:PER	se
lancer	VER:infi	lancer
dans	PRP	dans
cette	PRO:DEM	ce
aventure	NOM	aventure
risquée	ADJ	risqué
,	PUN	,
le	DET:ART	le
chef	NOM	chef
du	PRP:det	du
gouvernement	NOM	gouvernement
tâte	VER:pres	tâter
le	DET:ART	le
terrain	NOM	terrain
et	KON	et
prépare	VER:pres	préparer
l'	DET:ART	le
opinion	NOM	opinion
à	PRP	à
des	PRP:det	du
réformes	NOM	réforme
qui	PRO:REL	qui
vont	VER:pres	aller
déplaire	VER:infi	déplaire
.	SENT	.
persuadé	VER:pper	persuader
que	KON	que
seule	ADJ	seul
la	DET:ART	le
technique	NOM	technique
lente	ADJ	lent
lui	PRO:PER	lui
permettra	VER:futu	permettre
d'	PRP	de
avancer	VER:infi	avancer
sans	PRP	sans
trébucher	VER:infi	trébucher
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
efforce	VER:pres	efforcer
de	PRP	de
raboter	VER:infi	raboter
les	DET:ART	le
angles	NOM	angle
les	DET:ART	le
plus	ADV	plus
tranchants	ADJ	tranchant
de	PRP	de
ses	DET:POS	son
orientations	NOM	orientation
.	SENT	.
serait-il	VER:cond	serait-il
raisonnable	ADJ	raisonnable
de	PRP	de
procéder	VER:infi	procéder
autrement	ADV	autrement
?	SENT	?
echaudé	VER:pper	echaudé
par	PRP	par
l'	DET:ART	le
expérience	NOM	expérience
malheureuse	ADJ	malheureux
d'	PRP	de
alain	NOM	alain
juppé	VER:pper	juppé
monté	ADJ	monté
sabre	NOM	sabre
au	PRP:det	au
clair	ADJ	clair
à	PRP	à
l'	DET:ART	le
assaut	NOM	assaut
des	PRP:det	du
forteresses	NOM	forteresse
catégorielles	ADJ	catégoriel
,	PUN	,
attentif	ADJ	attentif
au	PRP:det	au
message	NOM	message
que	KON	que
les	DET:ART	le
manifestants	NOM	manifestant
lui	PRO:PER	lui
ont	VER:pres	avoir
adressé	VER:pper	adresser
samedi	NOM	samedi
,	PUN	,
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
pense	VER:pres	penser
que	KON	que
le	DET:ART	le
temps	NOM	temps
de	PRP	de
l'	DET:ART	le
analyse	NOM	analyse
,	PUN	,
de	PRP	de
la	DET:ART	le
réflexion	NOM	réflexion
et	KON	et
du	PRP:det	du
dialogue	NOM	dialogue
doit	VER:pres	devoir
précéder	VER:infi	précéder
celui	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
décision	NOM	décision
.	SENT	.
cela	PRO:DEM	cela
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
une	DET:ART	un
garantie	NOM	garantie
de	PRP	de
tranquillité	NOM	tranquillité
,	PUN	,
mais	KON	mais
dans	PRP	dans
la	DET:ART	le
phase	NOM	phase
très	ADV	très
incertaine	ADJ	incertain
qui	PRO:REL	qui
s'	PRO:PER	se
engage	VER:pres	engager
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
paramètre	NOM	paramètre
à	PRP	à
ne	ADV	ne
pas	ADV	pas
négliger	VER:infi	négliger
.	SENT	.
en	PRP	en
promettant	VER:ppre	promettre
une	DET:ART	un
réforme	NOM	réforme
«	PUN:cit	«
progressive	ADJ	progressif
et	KON	et
ajustable	ADJ	ajustable
»	PUN:cit	»
le	DET:ART	le
premier	NUM	premier
ministre	NOM	ministre
joue	VER:pres	jouer
