jc	NOM	jc
lure	NOM	lure
:	PUN	:
en	PRP	en
prénational	NOM	prénational
,	PUN	,
lure	NOM	lure
reçoit	VER:pres	recevoir
auxois	ADJ	auxois
samedi	NOM	samedi
à	PRP	à
21	NUM	@card@
h	ABR	heure
au	PRP:det	au
gymnase	NOM	gymnase
brosset	ADJ	brosset
.	SENT	.
en	PRP	en
seniors	NOM	senior
filles	NOM	fille
,	PUN	,
lure	NOM	lure
reçoit	VER:pres	recevoir
pontarlier	NOM	pontarlier
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h.	ABR	h.
en	PRP	en
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
,	PUN	,
lure	NOM	lure
reçoit	VER:pres	recevoir
luxeuil	NOM	luxeuil
samedi	NOM	samedi
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
se	PRO:PER	se
déplacent	VER:pres	déplacer
à	PRP	à
belfort	NOM	belfort
pour	PRP	pour
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
samedi	NOM	samedi
et	KON	et
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
filles	NOM	fille
se	PRO:PER	se
rendent	VER:pres	rendre
à	PRP	à
fougerolles	NOM	fougerolles
samedi	NOM	samedi
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
handball	NOM	handball
club	NOM	club
de	PRP	de
melisey-st-barthélémy	NOM	melisey-st-barthélémy
:	PUN	:
samedi	NOM	samedi
,	PUN	,
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
filles	NOM	fille
b	ADJ	b
jouent	VER:pres	jouer
à	PRP	à
vauvillers	NOM	vauvillers
(	PUN	(
horaire	ADJ	horaire
inconnu	ADJ	inconnu
),	NOM	),
les	DET:ART	le
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
se	PRO:PER	se
déplacent	VER:pres	déplacer
à	PRP	à
lons	NOM	lons
(	PUN	(
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
),	NOM	),
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
jouent	VER:pres	jouer
à	PRP	à
belfort	NOM	belfort
à	PRP	à
15	NUM	@card@
h	ABR	heure
et	KON	et
les	DET:ART	le
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
filles	NOM	fille
jouent	VER:pres	jouer
à	PRP	à
vauvillers	NOM	vauvillers
à	PRP	à
17	NUM	@card@
h.	ABR	h.
dimanche	NOM	dimanche
,	PUN	,
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
filles	NOM	fille
a	VER:pres	avoir
se	PRO:PER	se
déplacent	VER:pres	déplacer
à	PRP	à
besançon	NOM	besançon
(	PUN	(
match	NOM	match
à	PRP	à
10	NUM	@card@
h	ABR	heure
).	ABR	).
