football	NOM	football
toul-croix-de-metz	ABR	toul-croix-de-metz
samedi	NOM	samedi
15	NUM	@card@
ans	NOM	an
:	PUN	:
à	PRP	à
lunéville	NAM	Lunéville
es	VER:pres	être
15	NUM	@card@
h	ABR	heure
,	PUN	,
rv	NOM	rv
stade	NOM	stade
à	PRP	à
13	NUM	@card@
h.	ABR	h.
dimanche	NOM	dimanche
poussins	NOM	poussin
:	PUN	:
tournoi	NOM	tournoi
en	PRP	en
salle	NOM	salle
à	PRP	à
villers	NOM	villers
10	NUM	@card@
h	ABR	heure
,	PUN	,
rv	NOM	rv
pont	NOM	pont
bernon	NOM	bernon
9	NUM	@card@
h	ABR	heure
;	PUN	;
seniors	NOM	senior
1	NUM	@card@
:	PUN	:
coupe	NOM	coupe
de	PRP	de
lorraine	NOM	lorrain
à	PRP	à
bar-le-duc	NOM	bar-le-duc
14	NUM	@card@
h	ABR	heure
,	PUN	,
rv	NOM	rv
stade	NOM	stade
municipal	ADJ	municipal
12	NUM	@card@
h.	ABR	h.
us	NOM	us
kleber	NOM	kleber
samedi	NOM	samedi
seniors	NOM	senior
2	NUM	@card@
:	PUN	:
à	PRP	à
lucey	NOM	lucey
,	PUN	,
rv	NOM	rv
stade	NOM	stade
13	NUM	@card@
h	ABR	heure
15	NUM	@card@
dimanche	NOM	dimanche
vétérans	NOM	vétéran
:	PUN	:
contre	PRP	contre
foug	NOM	foug
,	PUN	,
rv	NOM	rv
stade	NOM	stade
8	NUM	@card@
h	ABR	heure
45	NUM	@card@
toul	NOM	toul
handball	NOM	handball
club	NOM	club
samedi	NOM	samedi
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
filles	NOM	fille
:	PUN	:
à	PRP	à
mirecourt	NOM	mirecourt
14	NUM	@card@
h	ABR	heure
,	PUN	,
rv	NOM	rv
saint-mansuy	NOM	saint-mansuy
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
:	PUN	:
à	PRP	à
tronville	NOM	tronville
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
rv	NOM	rv
saint-mansuy	NOM	saint-mansuy
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
:	PUN	:
à	PRP	à
rambervillers	NOM	rambervillers
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
rv	NOM	rv
saint-mansuy	NOM	saint-mansuy
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
promolor	NOM	promolor
filles	NOM	fille
:	PUN	:
à	PRP	à
sarrebourg	NOM	sarrebourg
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
rv	NOM	rv
saint-mansuy	NOM	saint-mansuy
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
honneur	NOM	honneur
régionale	ADJ	régional
:	PUN	:
à	PRP	à
cleurie	NOM	cleurie
19	NUM	@card@
h	ABR	heure
,	PUN	,
rv	NOM	rv
halle	NOM	halle
des	PRP:det	du
sports	NOM	sport
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
dimanche	NOM	dimanche
moins	ADV	moins
de	PRP	de
12	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
:	PUN	:
contre	PRP	contre
