dix-sept	NUM	dix-sept
personnes	NOM	personne
de	PRP	de
la	DET:ART	le
région	NOM	région
messine	ADJ	messin
,	PUN	,
venant	VER:ppre	venir
d'	PRP	de
un	DET:ART	un
centre	NOM	centre
d'	PRP	de
aide	NOM	aide
par	PRP	par
le	DET:ART	le
travail	NOM	travail
,	PUN	,
ont	VER:pres	avoir
découvert	VER:pper	découvrir
les	DET:ART	le
animations	NOM	animation
proposées	VER:pper	proposer
au	PRP:det	au
carrefour	NOM	carrefour
des	PRP:det	du
jeunes	NOM	jeune
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
.	SENT	.
une	DET:ART	un
première	NUM	premier
sortie	NOM	sortie
leur	PRO:PER	lui
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
découvrir	VER:infi	découvrir
«	PUN:cit	«
la	DET:ART	le
forêt	NOM	forêt
en	PRP	en
hiver	NOM	hiver
»	PUN:cit	»
avec	PRP	avec
au	PRP:det	au
programme	NOM	programme
une	DET:ART	un
promenade	NOM	promenade
le	DET:ART	le
matin	NOM	matin
en	PRP	en
forêt	NOM	forêt
de	PRP	de
la	DET:ART	le
reine	NOM	reine
pour	PRP	pour
observer	VER:infi	observer
les	DET:ART	le
oiseaux	NOM	oiseau
avec	PRP	avec
des	PRP:det	du
jumelles	NOM	jumelle
,	PUN	,
les	DET:ART	le
mangeoires	NOM	mangeoire
placées	VER:pper	placer
dans	PRP	dans
les	DET:ART	le
arbres	NOM	arbre
et	KON	et
participer	VER:infi	participer
au	PRP:det	au
«	PUN:cit	«
jeu	NOM	jeu
du	PRP:det	du
serpent	NOM	serpent
»	PUN:cit	»
avec	PRP	avec
des	PRP:det	du
masques	NOM	masque
.	SENT	.
une	DET:ART	un
animation	NOM	animation
qui	PRO:REL	qui
les	PRO:PER	la|le
a	VER:pres	avoir
séduits	VER:pper	séduire
et	KON	et
qui	PRO:REL	qui
leur	PRO:PER	lui
a	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
se	PRO:PER	se
sentir	VER:infi	sentir
proches	ADJ	proche
de	PRP	de
la	DET:ART	le
nature	NOM	nature
.	SENT	.
cette	PRO:DEM	ce
semaine	NOM	semaine
,	PUN	,
le	DET:ART	le
groupe	NOM	groupe
est	VER:pres	être
revenu	VER:pper	revenir
à	PRP	à
beaumont	NOM	beaumont
pour	PRP	pour
participer	VER:infi	participer
à	PRP	à
une	DET:ART	un
deuxième	NUM	deuxième
animation	NOM	animation
:	PUN	:
«	PUN:cit	«
l'	DET:ART	le
arbre	NOM	arbre
de	PRP	de
vie	NOM	vie
».	VER:pper	».
après	PRP	après
une	DET:ART	un
matinée	NOM	matinée
en	PRP	en
forêt	NOM	forêt
où	PRO:REL	où
ils	PRO:PER	il
ont	VER:pres	avoir
dû	VER:pper	devoir
reconnaître	VER:infi	reconnaître
les	DET:ART	le
différentes	ADJ	différent
essences	NOM	essence
par	PRP	par
rapport	NOM	rapport
à	PRP	à
l'	DET:ART	le
écorce	NOM	écorce
des	PRP:det	du
arbres	NOM	arbre
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
passé	VER:pper	passer
l'	DET:ART	le
après-midi	NOM	après-midi
au	PRP:det	au
carrefour	NOM	carrefour
où	PRO:REL	où
des	PRP:det	du
ateliers	NOM	atelier
leur	PRO:PER	lui
ont	VER:pres	avoir
permis	VER:pper	permettre
de	PRP	de
réaliser	VER:infi	réaliser
des	PRP:det	du
empreintes	NOM	empreinte
de	PRP	de
pattes	NOM	patte
de	PRP	de
chevreuil	NOM	chevreuil
dans	PRP	dans
de	PRP	de
l'	DET:ART	le
