invaincues	ADJ	invaincu
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
des	PRP:det	du
matches	NOM	match
de	PRP	de
qualification	NOM	qualification
,	PUN	,
chacune	PRO:IND	chacun
dans	PRP	dans
leur	DET:POS	leur
poule	NOM	poule
,	PUN	,
les	DET:ART	le
équipes	NOM	équipe
d'	PRP	de
arc-lès-gray	NOM	arc-lès-gray
,	PUN	,
thise	NOM	thise
,	PUN	,
saint-loup	NOM	saint-loup
et	KON	et
les	DET:ART	le
pousse-cailloux	NOM	pousse-cailloux
(	PUN	(
entente	NOM	entente
de	PRP	de
joueurs	NOM	joueur
locaux	ADJ	local
),	NOM	),
se	PRO:PER	se
retrouvaient	VER:impf	retrouver
en	PRP	en
demi-finale	NOM	demi-finale
du	PRP:det	du
tournoi	NOM	tournoi
principal	ADJ	principal
.	SENT	.
dans	PRP	dans
la	DET:ART	le
première	NUM	premier
les	DET:ART	le
joueurs	NOM	joueur
d'	PRP	de
arc-lès-gray	NOM	arc-lès-gray
l'	PRO:PER	la|le
emportaient	VER:impf	emporter
de	PRP	de
justesse	NOM	justesse
devant	PRP	devant
saint-loup	NOM	saint-loup
.	SENT	.
qualifiés	VER:pper	qualifier
aux	PRP:det	au
tirs	NOM	tir
au	PRP:det	au
but	NOM	but
grâce	NOM	grâce
à	PRP	à
julien	ADJ	julien
groslambert	NOM	groslambert
en	PRP	en
quart	NOM	quart
de	PRP	de
finale	NOM	finale
devant	PRP	devant
nancray	NOM	nancray
,	PUN	,
puis	ADV	puis
en	PRP	en
demi-finale	NOM	demi-finale
devant	PRP	devant
thise	NOM	thise
,	PUN	,
les	DET:ART	le
pousse-cailloux	NOM	pousse-cailloux
,	PUN	,
échouent	VER:pres	échouer
en	PRP	en
finale	ADJ	final
par	PRP	par
4	NUM	@card@
buts	NOM	but
à	PRP	à
3	NUM	@card@
devant	PRP	devant
arc	NOM	arc
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
pourtant	ADV	pourtant
mené	VER:pper	mener
par	PRP	par
2	NUM	@card@
-	PUN	-
0	NUM	@card@
pour	PRP	pour
la	DET:ART	le
3	NUM	@card@
e	ADJ	e
place	NOM	place
,	PUN	,
thise	NOM	thise
,	PUN	,
habitué	VER:pper	habituer
du	PRP:det	du
tournoi	NOM	tournoi
de	PRP	de
larians	NOM	larians
,	PUN	,
l'	PRO:PER	la|le
emportait	VER:impf	emporter
et	KON	et
saint-loup	NOM	saint-loup
terminait	VER:impf	terminer
au	PRP:det	au
pied	NOM	pied
du	PRP:det	du
podium	NOM	podium
à	PRP	à
la	DET:ART	le
4	NUM	@card@
e	ADJ	e
place	NOM	place
.	SENT	.
dans	PRP	dans
le	DET:ART	le
tournoi	NOM	tournoi
consolante	ADJ	consolant
,	PUN	,
un	DET:ART	un
autre	ADJ	autre
habitué	VER:pper	habituer
du	PRP:det	du
tournoi	NOM	tournoi
,	PUN	,
nancray	NOM	nancray
,	PUN	,
l'	PRO:PER	la|le
emportait	VER:impf	emporter
de	PRP	de
justesse	NOM	justesse
aux	PRP:det	au
tirs	NOM	tir
au	PRP:det	au
but	NOM	but
devant	PRP	devant
une	DET:ART	un
belle	ADJ	beau
équipe	NOM	équipe
des	PRP:det	du
près-de-vaux	NOM	près-de-vaux
(	PUN	(
besançon	NOM	besançon
).	VER:ppre	).
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
belleherbe	NOM	belleherbe
qui	PRO:REL	qui
a	VER:pres	avoir
animé	VER:pper	animer
le	DET:ART	le
tournoi	NOM	tournoi
,	PUN	,
aussi	ADV	aussi
bien	ADV	bien
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
que	KON	que
pendant	PRP	pendant
les	DET:ART	le
pauses	NOM	pause
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
prix	NOM	prix
du	PRP:det	du
fair-play	NOM	fair-play
.	SENT	.
toutes	PRO:IND	tout
les	DET:ART	le
équipes	NOM	équipe
participant	VER:ppre	participer
à	PRP	à
l'	DET:ART	le
une	DET:ART	un
ou	KON	ou
à	PRP	à
l'	DET:ART	le
autre	ADJ	autre
des	PRP:det	du
demi-finales	NOM	demi-finale
ont	VER:pres	avoir
reçu	VER:pper	recevoir
une	DET:ART	un
coupe	NOM	coupe
et	KON	et
chacun	PRO:IND	chacun
des	PRP:det	du
joueurs	NOM	joueur
un	DET:ART	un
lot	NOM	lot
de	PRP	de
valeur	NOM	valeur
en	PRP	en
fonction	NOM	fonction
du	PRP:det	du
classement	NOM	classement
.	SENT	.
avec	PRP	avec
la	DET:ART	le
coupe	NOM	coupe
qui	PRO:REL	qui
devra	VER:futu	devoir
être	VER:infi	être
remise	VER:pper	remettre
en	PRP	en
jeu	NOM	jeu
l'	DET:ART	le
an	NOM	an
prochain	ADJ	prochain
,	PUN	,
les	DET:ART	le
joueurs	NOM	joueur
d'	PRP	de
arc-lès-gray	NOM	arc-lès-gray
ont	VER:pres	avoir
reçu	VER:pper	recevoir
chacun	PRO:IND	chacun
un	DET:ART	un
superbe	ADJ	superbe
coupe-vent	NOM	coupe-vent
.	SENT	.
les	DET:ART	le
deux	NUM	deux
arbitres	NOM	arbitre
de	PRP	de
ces	PRO:DEM	ce
finales	ADJ	final
mm	NOM	mm
.	SENT	.
ferrera	VER:futu	ferrer
et	KON	et
gautherot	NOM	gautherot
ont	VER:pres	avoir
eux	PRO:PER	eux
aussi	ADV	aussi
été	VER:pper	être
récompensés	VER:pper	récompenser
.	SENT	.
les	DET:ART	le
benjamins	NOM	benjamin
battent	VER:pres	battre
le	DET:ART	le
brc	NOM	brc
en	PRP	en
finale	NOM	finale
:	PUN	:
dimanche	NOM	dimanche
,	PUN	,
dans	PRP	dans
le	DET:ART	le
tournoi	NOM	tournoi
benjamins	NOM	benjamin
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
renversé	VER:pper	renverser
de	PRP	de
justesse	NOM	justesse
une	DET:ART	un
situation	NOM	situation
bien	ADV	bien
compromise	VER:pper	compromettre
en	PRP	en
demi-finale	NOM	demi-finale
,	PUN	,
grâce	NOM	grâce
à	PRP	à
2	NUM	@card@
buts	NOM	but
de	PRP	de
benji	NOM	benji
michel	ADJ	michel
,	PUN	,
dans	PRP	dans
la	DET:ART	le
dernière	ADJ	dernier
minute	NOM	minute
,	PUN	,
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
larians	NOM	larians
se	PRO:PER	se
sont	VER:pres	être
imposés	VER:pper	imposer
en	PRP	en
finale	NOM	finale
2	NUM	@card@
-	PUN	-
0	NUM	@card@
(	PUN	(
buts	NOM	but
de	PRP	de
quentin	NOM	quentin
vircondelet	NOM	vircondelet
et	KON	et
marc	NOM	marc
georgeon	NOM	georgeon
),	ADJ	),
devant	PRP	devant
une	DET:ART	un
équipe	NOM	équipe
du	PRP:det	du
brc	NOM	brc
.	SENT	.
