plusieurs	PRO:IND	plusieurs
centaines	NOM	centaine
de	PRP	de
collectionneurs	NOM	collectionneur
ont	VER:pres	avoir
visité	VER:pper	visiter
hier	ADV	hier
le	DET:ART	le
salon	NOM	salon
du	PRP:det	du
disque	NOM	disque
et	KON	et
de	PRP	de
la	DET:ART	le
bande	NOM	bande
dessinée	VER:pper	dessiner
organisé	VER:pper	organiser
à	PRP	à
l'	DET:ART	le
atria	NOM	atria
.	SENT	.
une	DET:ART	un
trentaine	NOM	trentaine
d'	PRP	de
exposants	NOM	exposant
étaient	VER:impf	être
rassemblés	VER:pper	rassembler
à	PRP	à
l'	DET:ART	le
initiative	NOM	initiative
de	PRP	de
saga	NOM	saga
disc	ADJ	disc
,	PUN	,
originaire	ADJ	originaire
de	PRP	de
macon	NOM	macon
sous	PRP	sous
la	DET:ART	le
direction	NOM	direction
de	PRP	de
fernand	NOM	fernand
piqueras	VER:futu	piquer
.	SENT	.
les	DET:ART	le
pièces	NOM	pièce
présentées	VER:pper	présenter
étaient	VER:impf	être
souvent	ADV	souvent
de	PRP	de
belle	ADJ	beau
qualité	NOM	qualité
mais	KON	mais
affichaient	VER:impf	afficher
pour	PRP	pour
beaucoup	ADV	beaucoup
des	PRP:det	du
prix	NOM	prix
excessifs	ADJ	excessif
.	SENT	.
tout	ADV	tout
comme	ADV	comme
le	DET:ART	le
prix	NOM	prix
d'	PRP	de
entrée	NOM	entrée
,	PUN	,
fixé	VER:pper	fixer
à	PRP	à
3,20	NUM	@card@
euros	NOM	euro
par	PRP	par
personne	NOM	personne
.	SENT	.
un	DET:ART	un
peu	ADV	peu
cher	ADJ	cher
pour	PRP	pour
avoir	VER:infi	avoir
le	DET:ART	le
simple	ADJ	simple
droit	NOM	droit
d'	PRP	de
acheter	VER:infi	acheter
des	PRP:det	du
disques	NOM	disque
,	PUN	,
des	PRP:det	du
cd	NOM	cd
ou	KON	ou
des	PRP:det	du
bandes	NOM	bande
dessinées	VER:pper	dessiner
.	SENT	.
