classement	NOM	classement
provisoire	ADJ	provisoire
coupe	VER:pres	couper
du	PRP:det	du
monde	NOM	monde
:	PUN	:
1	NUM	@card@
kircheisen	NOM	kircheisen
(	PUN	(
allemagne	NOM	allemagne
)	PUN	)
546	NUM	@card@
points	NOM	point
.	SENT	.
2	NUM	@card@
ackermann	NOM	ackermann
(	PUN	(
allemagne	NOM	allemagne
)	PUN	)
515	NUM	@card@
3	NUM	@card@
manninen	NOM	manninen
(	PUN	(
finlande	NOM	finlande
)	PUN	)
478	NUM	@card@
4	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
finlande	NOM	finlande
)	PUN	)
469	NUM	@card@
5	NUM	@card@
spillane	NOM	spillane
(	PUN	(
usa	VER:simp	user
)	PUN	)
338	NUM	@card@
6	NUM	@card@
hettich	NOM	hettich
(	PUN	(
allemagne	NOM	allemagne
)	PUN	)
305	NUM	@card@
7	NUM	@card@
gottwald	NOM	gottwald
(	PUN	(
autriche	ADJ	autriche
)	PUN	)
254	NUM	@card@
8	NUM	@card@
lodwick	NOM	lodwick
(	PUN	(
usa	VER:simp	user
)	PUN	)
218	NUM	@card@
23	NUM	@card@
roux	NOM	roux
(	PUN	(
france	NOM	france
)	PUN	)
77	NUM	@card@
29	NUM	@card@
bal	NOM	bal
68	NUM	@card@
les	DET:ART	le
vainqueurs	NOM	vainqueur
des	PRP:det	du
huit	NUM	huit
manches	NOM	manche
:	PUN	:
kuusamo	NOM	kuusamo
(	PUN	(
29	NUM	@card@
/	PUN	/
11	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
manninen	NOM	manninen
(	PUN	(
finlande	VER:pres	finlande
).	VER:pper	).
trondheim	NOM	trondheim
(	PUN	(
06	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
kircheisen	NOM	kircheisen
(	PUN	(
allemagne	NOM	allemagne
).	VER:ppre	).
trondheim	NOM	trondheim
(	PUN	(
07	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
kircheisen	NOM	kircheisen
(	PUN	(
allemagne	NOM	allemagne
).	VER:ppre	).
trondheim	NOM	trondheim
(	PUN	(
08	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
kircheisen	NOM	kircheisen
(	PUN	(
allemand	ADJ	allemand
).	VER:futu	).
harrachov	NOM	harrachov
(	PUN	(
14	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
finlande	VER:pres	finlande
).	VER:pper	).
harrachov	NOM	harrachov
(	PUN	(
15	NUM	@card@
/	PUN	/
12	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
manninen	NOM	manninen
(	PUN	(
finlande	VER:pres	finlande
).	VER:pper	).
oberhof	NOM	oberhof
(	PUN	(
01	NUM	@card@
/	PUN	/
01	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
gottwald	NOM	gottwald
(	PUN	(
autriche	ADJ	autriche
).	VER:futu	).
ramsau	NOM	ramsau
(	PUN	(
08	NUM	@card@
/	PUN	/
01	NUM	@card@
)	PUN	)
:	PUN	:
1	NUM	@card@
lajunen	NOM	lajunen
(	PUN	(
finlande	NOM	finlande
).	ADJ	).
