geneviève	NAM	Geneviève
tresse	VER:pres	tresser
,	PUN	,
conférencière	NOM	conférencier
sur	PRP	sur
l'	DET:ART	le
histoire	NOM	histoire
lorraine	ADJ	lorrain
,	PUN	,
était	VER:impf	être
l'	DET:ART	le
invitée	NOM	invité
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
membres	NOM	membre
des	PRP:det	du
palmes	NOM	palme
académiques	ADJ	académique
.	SENT	.
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
son	DET:POS	son
cycle	NOM	cycle
annuel	ADJ	annuel
de	PRP	de
conférences	NOM	conférence
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
expliqué	VER:pper	expliquer
à	PRP	à
un	DET:ART	un
public	NOM	public
de	PRP	de
plus	ADV	plus
de	PRP	de
cent	NUM	cent
personnes	NOM	personne
,	PUN	,
les	DET:ART	le
destins	NOM	destin
semblables	ADJ	semblable
du	PRP:det	du
bon	ADJ	bon
roi	NOM	roi
rené	VER:pper	renaître
et	KON	et
de	PRP	de
stanislas	NOM	stanislas
le	DET:ART	le
bienfaisant	ADJ	bienfaisant
.	SENT	.
chacun	PRO:IND	chacun
fut	VER:simp	être
roi	NOM	roi
sans	PRP	sans
royaume	NOM	royaume
et	KON	et
duc	NOM	duc
par	PRP	par
le	DET:ART	le
biais	NOM	biais
d'	PRP	de
un	DET:ART	un
mariage	NOM	mariage
.	SENT	.
rené	VER:pper	renaître
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
au	PRP:det	au
15	NUM	@card@
e	NOM	e
siècle	NOM	siècle
en	PRP	en
fin	NOM	fin
de	PRP	de
moyen	ADJ	moyen
âge	NOM	âge
épouse	VER:pres	épouser
la	DET:ART	le
fille	NOM	fille
du	PRP:det	du
duc	NOM	duc
de	PRP	de
lorraine	NOM	lorrain
et	KON	et
rattache	VER:pres	rattacher
ainsi	ADV	ainsi
le	DET:ART	le
barrois	NOM	barrois
à	PRP	à
la	DET:ART	le
lorraine	NOM	lorrain
;	PUN	;
stanislas	NOM	stanislas
devient	VER:pres	devenir
duc	NOM	duc
de	PRP	de
lorraine	NOM	lorrain
en	PRP	en
mariant	VER:ppre	marier
sa	DET:POS	son
fille	NOM	fille
au	PRP:det	au
roi	NOM	roi
de	PRP	de
france	NOM	france
,	PUN	,
louis	NOM	louis
xv	NOM	xv
ils	PRO:PER	il
sont	VER:pres	être
le	DET:ART	le
premier	NUM	premier
duc	NOM	duc
de	PRP	de
bar	NOM	bar
et	KON	et
de	PRP	de
lorraine	NOM	lorrain
,	PUN	,
pour	KON	pour
rené	VER:pper	renaître
et	KON	et
le	DET:ART	le
dernier	ADJ	dernier
pour	PRP	pour
stanislas	NOM	stanislas
.	SENT	.
tous	PRO:IND	tout
deux	NUM	deux
furent	VER:simp	être
de	PRP	de
piètres	ADJ	piètre
hommes	NOM	homme
de	PRP	de
guerre	NOM	guerre
,	PUN	,
destinés	VER:pper	destiner
à	PRP	à
être	VER:infi	être
roi	NOM	roi
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
été	VER:pper	être
destitués	VER:pper	destituer
.	SENT	.
ils	PRO:PER	il
furent	VER:simp	être
tous	PRO:IND	tout
deux	NUM	deux
ducs	NOM	duc
dans	PRP	dans
des	PRP:det	du
périodes	NOM	période
de	PRP	de
réformes	NOM	réforme
,	PUN	,
avant	PRP	avant
la	DET:ART	le
renaissance	NOM	renaissance
et	KON	et
avant	PRP	avant
la	DET:ART	le
révolution	NOM	révolution
.	SENT	.
ils	PRO:PER	il
développèrent	VER:simp	développer
les	DET:ART	le
sciences	NOM	science
et	KON	et
la	DET:ART	le
médecine	NOM	médecine
et	KON	et
furent	VER:simp	être
bâtisseurs	NOM	bâtisseur
,	PUN	,
écrivains	NOM	écrivain
et	KON	et
artistes	NOM	artiste
,	PUN	,
s'	PRO:PER	se
affirmant	VER:ppre	affirmer
plus	ADV	plus
dans	PRP	dans
une	DET:ART	un
	ADJ	
uvre	NOM	uvre
généreuse	ADJ	généreux
que	KON	que
politique	ADJ	politique
.	SENT	.
