espace	NOM	espace
lac	NOM	lac
:	PUN	:
11	NUM	@card@
h	ABR	heure
,	PUN	,
«	PUN:cit	«
maléfique	ADJ	maléfique
»	PUN:cit	»
(	PUN	(
1	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
en	PRP	en
présence	NOM	présence
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
du	PRP:det	du
film	NOM	film
;	PUN	;
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
three	NOM	three
»	PUN:cit	»
(	PUN	(
3	NUM	@card@
histoires	NOM	histoire
de	PRP	de
l'	DET:ART	le
au-delà	ADV	au-delà
-	PUN	-
2	NUM	@card@
h	ABR	heure
08	NUM	@card@
)	PUN	)
;	PUN	;
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
dark	ADJ	dark
water	NOM	water
»	PUN:cit	»
(	PUN	(
1	NUM	@card@
h	ABR	heure
37	NUM	@card@
)	PUN	)
en	PRP	en
présence	NOM	présence
du	PRP:det	du
réalisateur	NOM	réalisateur
;	PUN	;
20	NUM	@card@
h	ABR	heure
,	PUN	,
«	PUN:cit	«
28	NUM	@card@
days	NOM	days
later	NOM	later
»	PUN:cit	»
(	PUN	(
28	NUM	@card@
jours	NOM	jour
plus	ADV	plus
tard	ADV	tard
-	PUN	-
1	NUM	@card@
h	ABR	heure
53	NUM	@card@
)	PUN	)
;	PUN	;
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
cabin	NOM	cabin
fever	ADJ	fever
»	PUN:cit	»
(	PUN	(
1	NUM	@card@
h	ABR	heure
35	NUM	@card@
)	PUN	)
;	PUN	;
00	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
cafe	NOM	cafe
flesh	NOM	flesh
»	PUN:cit	»
(	PUN	(
1	NUM	@card@
h	ABR	heure
14	NUM	@card@
)	PUN	)
-	PUN	-
séance	NOM	séance
fantastic'hard	ADJ	fantastic'hard
(	PUN	(
interdit	VER:pper	interdire
aux	PRP:det	au
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
)	PUN	)
présenté	VER:pper	présenter
par	PRP	par
