jacques	NOM	jacque|jacques
chirac	NOM	chirac
a	VER:pres	avoir
fait	VER:pper	faire
part	NOM	part
de	PRP	de
sa	DET:POS	son
«	PUN:cit	«
tristesse	NOM	tristesse
»	PUN:cit	»
après	PRP	après
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
françoise	ADJ	françoise
giroud	NOM	giroud
,	PUN	,
«	PUN:cit	«
une	DET:ART	un
femme	NOM	femme
de	PRP	de
culture	NOM	culture
,	PUN	,
de	PRP	de
conviction	NOM	conviction
et	KON	et
d'	PRP	de
engagement	NOM	engagement
».	ABR	».
mme	VER:futu	mme
giroud	NOM	giroud
aura	VER:futu	avoir
«	PUN:cit	«
symbolisé	VER:pper	symboliser
,	PUN	,
ajoute	VER:pres	ajouter
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
république	NOM	république
,	PUN	,
l'	DET:ART	le
aspiration	NOM	aspiration
des	PRP:det	du
femmes	NOM	femme
à	PRP	à
tenir	VER:infi	tenir
toute	PRO:IND	tout
la	DET:ART	le
place	NOM	place
qui	PRO:REL	qui
leur	PRO:PER	lui
revient	VER:pres	revenir
dans	PRP	dans
notre	DET:POS	notre
société	NOM	société
et	KON	et
aura	VER:futu	avoir
contribué	VER:pper	contribuer
à	PRP	à
l'	DET:ART	le
évolution	NOM	évolution
de	PRP	de
la	DET:ART	le
société	NOM	société
française	ADJ	français
vers	PRP	vers
plus	ADV	plus
de	PRP	de
modernité	NOM	modernité
,	PUN	,
d'	PRP	de
équilibre	NOM	équilibre
et	KON	et
d'	PRP	de
équité	NOM	équité
.	SENT	.
nombreux	ADJ	nombreux
sont	VER:pres	être
les	DET:ART	le
français	ADJ	français
qui	PRO:REL	qui
appréciaient	VER:impf	apprécier
comme	ADV	comme
moi	PRO:PER	moi
l'	DET:ART	le
intelligence	NOM	intelligence
et	KON	et
l'	DET:ART	le
acuité	NOM	acuité
de	PRP	de
son	DET:POS	son
regard	NOM	regard
sur	PRP	sur
le	DET:ART	le
monde	NOM	monde
,	PUN	,
le	DET:ART	le
talent	NOM	talent
et	KON	et
la	DET:ART	le
finesse	NOM	finesse
de	PRP	de
sa	DET:POS	son
plume	NOM	plume
,	PUN	,
son	DET:POS	son
humour	NOM	humour
empreint	VER:pres	empreindre
de	PRP	de
malice	NOM	malice
».	VER:subi	».
jean	NOM	jean
daniel	ADJ	daniel
,	PUN	,
ancien	ADJ	ancien
collaborateur	NOM	collaborateur
de	PRP	de
françoise	ADJ	françoise
giroud	NOM	giroud
à	PRP	à
l'	DET:ART	le
express	NOM	express
et	KON	et
co-fondateur	NOM	co-fondateur
du	PRP:det	du
nouvel	ADJ	nouveau
observateur	NOM	observateur
,	PUN	,
a	VER:pres	avoir
estimé	VER:pper	estimer
que	KON	que
la	DET:ART	le
journaliste	NOM	journaliste
était	VER:impf	être
«	PUN:cit	«
une	NUM	un
des	PRP:det	du
personnes	NOM	personne
les	DET:ART	le
plus	ADV	plus
marquantes	ADJ	marquant
du	PRP:det	du
journalisme	NOM	journalisme
depuis	PRP	depuis
un	DET:ART	un
siècle	NOM	siècle
et	KON	et
une	DET:ART	un
des	PRP:det	du
combattantes	NOM	combattant
les	DET:ART	le
plus	ADV	plus
pugnaces	ADJ	pugnace
en	PRP	en
france	NOM	france
des	PRP:det	du
droits	NOM	droit
des	PRP:det	du
femmes	NOM	femme
».	VER:cond	».
françoise	ADJ	françoise
giroud	NOM	giroud
était	VER:impf	être
«	PUN:cit	«
animée	VER:pper	animer
d'	PRP	de
une	DET:ART	un
passion	NOM	passion
pour	PRP	pour
son	DET:POS	son
métier	NOM	métier
qui	PRO:REL	qui
excluait	VER:impf	exclure
toute	PRO:IND	tout
espèce	NOM	espèce
de	PRP	de
loisir	NOM	loisir
».	VER:subi	».
elle	PRO:PER	elle
considérait	VER:impf	considérer
que	KON	que
c'	PRO:DEM	ce
était	VER:impf	être
un	DET:ART	un
«	PUN:cit	«
privilège	NOM	privilège
d'	PRP	de
